0.202f41+0.201f45+0.199f46+0.198f42+0.189f39...,0.238f16+0.238f15+0.232f14+0.222f17+0.217f19...,'0.24 f27+0.233f28+0.227f26+0.227f47-0.216f36...','0.344f10+0.335f09+0.321f11+0.263f08+0.24 f12...','0.296f22+0.252f21+0.25 f23+0.222f40+0.218f20...',class
2.063859,-3.42879,-0.687064,-0.833543,3.653746,-1
-0.779502,-1.608457,-0.722916,-1.135428,1.526151,-1
-0.3178,-1.111754,-0.06035,-0.417666,0.950477,-1
3.94632,-4.65017,-2.992459,0.384359,-0.856073,-1
-2.090114,-3.05101,-3.066719,-0.186968,0.403945,-1
-4.576343,-1.741177,0.096017,-0.32532,-0.72358,-1
-2.661217,-2.457935,0.526595,-0.903366,-0.706406,-1
-2.567509,-2.83389,0.671556,-0.808676,-0.482795,-1
-2.981266,-3.059736,1.266718,0.189862,-0.131148,-1
-3.692297,-3.034745,1.229909,0.583026,-0.401996,-1
-1.609025,-4.231412,-1.898556,0.959196,0.57346,-1
-3.654385,-4.087719,-1.057961,0.708262,0.104904,-1
-3.942058,-3.947395,-1.425035,0.058639,-0.183405,-1
-4.278174,-3.665205,-0.861382,0.962616,0.388717,-1
-3.980626,-2.918305,-0.951489,0.802892,0.403666,-1
-3.020665,-4.604905,-1.691968,0.912364,0.572887,-1
-2.056176,-4.838822,-1.849813,0.824494,0.344064,-1
3.886644,-4.999233,-5.952539,0.506379,0.079929,-1
4.657449,-4.74319,-5.647351,-1.079253,-1.129235,-1
4.262211,-5.508088,-4.387657,0.319478,-0.821055,-1
4.773311,-4.429831,-4.928771,0.362018,-0.748469,-1
0.026703,-5.493989,-0.753968,0.707812,-1.07771,-1
-3.54107,-3.076155,-0.386514,-0.593905,-2.885078,-1
-3.758312,-3.77315,-0.740314,-1.127393,-1.313423,-1
-3.585675,-3.065637,-0.35454,-0.378588,-2.217715,-1
-3.619196,-2.733265,-0.554288,-1.467543,-1.984608,-1
-3.057946,-3.167311,-0.620017,-1.371135,0.217961,-1
-6.205677,1.151297,-0.467392,-1.197924,0.3441,-1
-5.084881,1.816936,-0.481134,-1.201107,1.469102,-1
-5.327163,2.022442,-0.079194,-1.165879,1.472234,-1
-4.553851,2.207134,-0.355153,-2.131156,0.8628,-1
-5.079933,2.42364,0.293063,-1.505241,1.337538,-1
-5.499094,0.722987,-0.661181,-1.400064,1.088156,-1
-2.964662,3.421864,-0.718164,1.033318,-0.113183,-1
-1.730866,3.279605,1.411718,1.438054,1.444964,-1
-1.765466,2.618394,1.294373,0.252873,0.762218,-1
-2.317303,3.579093,0.477248,0.524941,1.327893,-1
-1.875136,3.646079,-0.119607,0.037769,1.003995,-1
1.607215,4.630073,0.944641,-1.243753,-0.586196,-1
0.013228,1.543163,1.024015,-1.40509,1.558314,-1
2.289271,1.455942,1.402381,-0.53071,1.539025,-1
-0.422158,3.343031,-1.242402,-2.151958,0.266194,-1
0.291428,1.361175,0.546141,-0.531067,1.009628,-1
0.064037,3.469935,-1.359429,2.590328,0.936452,-1
0.164337,2.665828,0.76165,4.513077,-3.633219,-1
-1.691082,-3.031552,-0.161659,0.293995,-2.522103,-1
-0.242703,-1.057157,-0.09409,1.903144,-1.491014,-1
-1.697934,-2.612847,0.109172,1.180918,-2.252344,-1
0.448105,-2.354845,-5.959448,-0.158108,-4.105522,-1
1.215631,-3.230539,-3.930523,-0.572944,-2.438193,-1
6.352502,0.734651,-2.650792,-2.502764,-1.198435,1
5.851544,6.207037,-0.532433,-4.203466,-7.083545,1
2.322514,1.352961,-1.776861,-1.712782,-3.268397,1
0.811446,7.889318,-2.951726,-0.049877,-4.009292,1
0.920742,7.270016,-1.58282,1.992418,-3.540289,1
1.317487,6.497757,-3.239097,-1.481411,-2.600923,1
-1.928397,5.037487,-4.380133,0.485649,1.086573,1
0.889999,5.759364,-3.868735,-0.84209,0.870955,1
-1.928463,4.970947,-2.637355,-1.14781,0.476435,1
0.168381,1.314485,-2.492186,-2.717408,2.186504,1
-0.155437,2.38908,-2.204096,-1.849947,2.370705,1
-1.123555,2.641675,-2.905513,-1.876304,2.571026,1
-0.916737,1.061009,0.724138,-3.92035,2.260312,1
-1.861391,1.576825,-0.40824,-2.817675,2.232322,1
1.376628,6.204087,-0.927679,-4.268473,-0.218781,1
-0.016096,5.252322,-2.407385,-1.53284,1.288971,1
-1.613804,3.225104,-1.541642,-0.792125,2.138068,1
-1.666722,4.076603,0.915795,-1.265879,1.277903,1
0.0868,4.464756,-1.972646,-1.2123,1.529142,1
-2.343082,4.364621,1.408425,-0.669482,1.191832,1
-2.137749,1.809244,2.053922,-0.551484,1.846145,1
-3.007516,1.366324,2.43735,-0.433737,-0.274407,1
-3.533977,2.372244,1.925918,0.162192,0.011088,1
-2.86004,-0.159206,1.517872,-0.361295,0.844172,1
-3.026902,1.559309,2.004612,-0.837663,1.503778,1
-3.027778,2.889618,2.313971,-0.397231,0.813816,1
-2.213758,2.202963,2.058748,-1.168748,0.376436,1
-2.054734,4.049449,1.66234,0.535781,-1.087949,1
-1.546328,4.732103,1.608798,0.327383,0.217242,1
-1.195764,7.37168,1.118147,1.951064,-0.450661,1
-0.068524,7.707095,2.207794,0.59201,1.112964,1
-1.405237,6.613682,0.614273,0.376862,0.655492,1
0.676134,7.947565,0.141871,0.192879,-1.424734,1
0.38098,8.753303,-0.838425,-0.013394,-1.252785,1
7.611439,1.864987,-2.460848,2.84362,0.757562,1
6.895936,3.097265,-2.364658,2.558332,-0.25962,1
8.71798,2.712325,-1.555982,2.472216,0.274198,1
7.277323,2.777692,-2.973381,5.969382,-0.727729,1
8.993577,3.304076,-2.554477,2.205099,-1.179675,1
9.120987,2.76144,-1.051389,3.861743,-1.30459,1
2.579621,2.139241,0.946128,1.910758,0.881624,1
4.711586,2.595894,3.090635,-4.610751,-3.426547,1
1.189016,-1.007536,0.501141,-1.594519,-1.693148,1
7.995879,0.42657,6.208942,-3.430492,-0.389006,1
5.437729,0.978954,2.9082,-3.697576,-1.262677,1
7.360991,-0.533005,2.12385,-3.612985,-1.535177,1
6.735285,-1.064619,4.39623,-1.335897,-0.21966,1
5.463311,-1.672548,2.127342,-4.173865,-1.303999,1
6.152465,0.977117,1.592625,-2.278214,-0.204979,1
11.699209,0.465028,5.725202,-5.961303,-1.80873,1
8.583448,4.603054,3.72251,-4.872469,0.304461,1
-0.123175,3.423667,0.520856,-0.187163,-3.262301,1
-0.604918,0.777234,0.352827,-2.877362,0.693798,1
-3.559045,1.336542,-2.837641,-0.00211,1.243904,1
-2.3797,1.953776,-2.272084,-0.64276,1.75137,1
-1.149435,-0.672281,-0.681589,0.171728,1.327727,1
-3.212888,2.668642,-0.259788,-0.658087,0.918621,1
-4.084361,1.952344,0.371443,0.539902,0.742332,1
-2.892816,1.604325,-1.804015,-0.383236,1.172074,1
3.617746,-4.899361,2.712266,2.551201,1.043513,1
5.913618,-5.420923,2.591386,1.312037,1.763694,1
4.92235,-4.541966,1.192695,3.149979,0.116433,1
4.708214,-4.247396,0.589101,3.109266,0.405876,1
3.409066,-4.830501,2.301309,2.014826,-0.250232,1
6.832477,-5.592464,3.411721,0.722097,1.788402,1
-0.828742,-2.659392,1.832559,-0.752411,1.554013,1
-2.432241,-0.75858,-0.570683,-0.036391,2.979112,1
3.307152,-1.244766,0.508591,1.67202,4.116935,1
-0.564403,-1.210821,-0.757253,0.570796,3.298424,1
4.832093,-4.101493,1.347839,-0.770427,-0.618124,1
1.088032,-4.351881,-0.132977,-0.833683,2.531965,1
-1.502332,-3.000627,-0.495838,0.798592,3.186933,1
-1.178528,-3.225531,-0.882269,0.674116,2.392389,1
-0.587026,-3.556767,-0.745562,0.626703,3.440883,1
0.660411,1.82366,0.925861,4.223123,1.36504,1
0.094177,-1.552629,-0.359627,2.246902,-0.713702,1
-2.404939,1.10007,-0.314853,1.113232,-0.6524,1
0.170367,1.28964,2.340545,0.416935,2.477796,1
-2.011636,0.28434,2.599224,2.747279,1.735986,1
-1.43165,2.152517,2.573088,2.645974,1.20852,1
-2.630083,-1.321406,0.591096,0.899985,0.461001,1
-2.374163,-2.744377,0.288529,0.486531,-1.57805,1
-0.593756,-1.404971,1.224316,0.972847,-1.31966,1
0.170862,0.807181,3.898496,3.262841,0.961643,1
4.063638,-1.318533,5.311762,0.435459,2.145853,1
2.084194,-0.394006,4.176718,2.295312,1.608488,1
2.180118,0.185151,4.415228,1.781554,1.472283,1
1.716648,2.761536,4.847982,3.532341,0.864802,1
0.961165,0.597476,4.266029,3.14261,1.582716,1
5.321636,-1.831412,5.828857,0.64063,1.267547,1
0.751284,-2.398937,2.235687,0.734504,-1.815008,1
-0.576896,-2.905284,2.050123,0.783574,-1.666109,1
-1.600247,-1.88579,1.8853,0.86117,-2.0579,1
-1.2392,-2.485218,1.896433,0.104402,-2.081193,1
-2.036072,-2.476802,1.77209,0.172668,-1.98015,1
-2.317858,-2.293046,1.827837,0.341629,-2.244103,1
-1.750603,-3.380136,1.766804,0.144003,-1.759843,1
-3.134386,-2.361432,2.335979,1.362184,-1.597922,1
-3.075604,-1.228145,3.804835,-0.087969,-0.102058,1
-3.856623,-0.585343,3.849979,0.004981,0.050375,1
-3.6101,-1.337989,3.004522,-0.321094,-0.009706,1
-3.474126,-1.147389,3.116007,-0.243548,-0.591577,1
-3.936001,-0.703455,2.413948,0.2457,-0.615605,1
-3.124442,0.18353,3.798328,1.029471,0.177896,1
-3.605537,0.15081,3.457345,0.813703,-0.560331,1
-1.84118,-0.887167,2.483408,1.85837,-2.671611,1
-1.204746,-0.965843,3.108648,-0.211979,-2.301283,1
-2.964288,-2.746866,2.494947,0.477601,-2.152014,1
-2.287691,-2.748814,2.382719,0.130302,-2.752381,1
-3.106969,-1.846096,2.414661,0.381291,-1.654326,1
-3.23083,-2.271614,1.702021,-0.22534,-1.124078,1
