-0.284f15-0.28f21-0.277f17-0.275f19-0.266f13...,-0.357f20-0.332f22-0.312f28-0.291f26-0.289f24...,-0.354f03-0.305f05-0.288f12-0.263f07-0.261f01...,'0.442f34+0.431f32+0.28 f27+0.242f25+0.241f29...',-0.506f04+0.444f06+0.322f18-0.306f30+0.256f26...,class
-1.445014,-4.313001,-0.248457,0.935529,-0.010439,1
1.689903,0.088337,-2.024944,1.081415,-4.601816,-1
-2.887983,0.474672,-0.929043,0.753022,0.926264,1
-3.221217,-0.833814,-0.777143,0.202007,-0.149227,-1
-3.442994,-0.080627,-1.206328,0.090466,-1.31237,1
-4.148014,0.005316,1.105542,-2.5038,-0.980398,-1
4.371581,2.924342,-4.814749,0.651844,-0.27174,1
-3.514431,-3.081962,-0.376273,-3.35501,-2.645803,-1
-3.333748,-3.962066,-0.388428,1.794254,0.334057,1
0.25382,3.639375,1.548406,-0.814329,1.351428,-1
-1.178985,-5.25944,0.012517,0.923513,0.346354,1
1.731644,-0.753903,1.401739,0.836737,-0.289344,-1
-2.367593,-4.216048,-0.147298,1.078491,0.099883,1
-2.080554,0.940883,0.044353,-1.913152,-1.884175,-1
-2.30696,-3.773188,-0.251433,0.872189,0.177177,1
2.426751,-4.834053,0.02668,-1.109804,-6.421076,-1
-0.806428,-7.369936,-0.429471,1.312757,0.112311,1
1.918455,-2.947381,-0.372017,1.695037,-6.311186,-1
-3.897062,3.36596,-1.499327,-0.843531,1.281086,1
-3.525274,-0.012807,-0.736965,1.256058,1.381362,-1
-0.385771,-4.840953,0.177405,0.478418,0.451895,1
1.618036,-1.948796,0.098997,-0.756563,0.794918,-1
-1.742265,0.215409,-0.225475,-0.381429,0.078528,1
-0.862215,-0.839414,-0.051202,0.77249,-0.002694,-1
-2.160339,0.529987,-0.274606,0.352506,-0.113162,1
-1.602805,-0.877115,-1.154322,1.66961,1.149261,-1
-0.567424,-0.255133,0.562373,0.484566,0.066261,1
3.670324,-0.479664,0.159071,-1.521279,0.820624,-1
-2.330181,-2.833488,0.025665,1.379285,0.94309,1
0.186938,0.562992,2.134219,-2.173699,-1.355935,-1
-0.416079,0.3234,-0.355193,0.149107,-0.065201,1
1.005175,0.207137,1.851005,0.262584,2.149028,-1
-0.534583,0.394618,0.510421,0.04984,0.039755,1
3.931217,-4.392383,0.745365,-1.693988,0.523823,-1
4.080981,-4.496645,-0.757467,-2.702151,0.734058,1
4.991977,-3.695967,-1.52283,-3.437185,0.837813,1
1.926642,4.421351,1.29244,-2.497326,2.834786,-1
-1.781555,-0.714216,-0.246563,0.398959,-0.220599,1
0.686585,3.81703,-0.180049,-2.77544,2.088905,-1
-3.83653,0.959282,-0.853064,-0.227088,-0.288054,1
2.410237,1.213486,2.547798,0.185136,-0.652435,-1
-3.472305,1.606195,-0.405122,-0.56557,-0.110085,1
0.386605,1.804409,1.637846,-0.878333,0.314559,-1
-4.031702,1.664393,-0.807488,-0.882279,0.250876,1
1.693531,1.129185,1.431187,0.548945,-0.666476,-1
-3.412342,0.754972,-0.480503,-0.519245,-0.365725,1
2.106235,2.420307,0.05606,0.01211,-1.316545,-1
-3.59875,4.957625,0.116048,-2.525815,-0.165458,1
0.463901,2.493093,0.76722,-0.489288,1.521508,-1
4.072614,-3.618757,-1.192463,-2.676927,0.681532,1
0.234455,0.156922,1.211077,-0.297998,0.947949,-1
4.740365,-3.101065,-2.07778,-3.195876,0.657398,1
3.362924,0.219231,0.620937,0.643434,0.382201,-1
0.875581,0.332326,1.010808,-0.087705,0.314997,1
-1.449149,0.675757,-0.337956,-0.735823,-0.114387,-1
-2.132903,-1.009538,-0.355852,0.213783,0.268684,1
1.862062,-0.085741,2.380937,-0.809329,0.039534,-1
-3.62775,0.715479,-0.664104,-0.391448,0.064417,1
0.033324,0.20753,1.427875,-1.199745,-0.105782,-1
-2.531325,0.17893,-0.212928,0.60922,2.592954,1
2.117599,0.378382,0.95804,-0.534914,-0.260988,-1
-0.103253,0.608509,0.413914,-0.479958,-0.445818,1
2.125802,0.171283,0.596277,0.269075,-1.493564,-1
-1.664079,-3.433963,0.027726,0.412354,-0.14167,1
-2.276903,-0.248649,-0.95984,2.690618,0.770911,-1
-3.723375,0.272173,-0.819811,0.066806,-0.399168,1
1.456619,1.111951,1.886025,0.473362,1.966111,-1
-3.874453,0.12546,-0.803308,0.198977,-0.149939,1
-1.370494,0.871619,0.952133,-0.366143,-0.559901,-1
0.681527,-0.373464,0.683268,-0.273333,0.133775,1
-0.942678,0.581087,-0.193852,-0.332759,-4.512631,-1
3.538082,-2.688409,0.294282,-1.975197,0.497017,1
-0.582966,0.720197,1.095937,-1.646257,-3.2791,-1
4.851317,-2.336626,-2.150596,-3.270933,0.420557,1
5.730772,2.840517,1.42215,0.552934,-0.669999,-1
-0.578183,-0.22755,0.922249,-0.253472,0.298254,1
2.795171,0.445315,1.953673,-0.153338,0.104284,-1
-1.758574,0.917373,-0.279697,-1.025966,0.390666,1
2.755427,0.231354,3.027037,-0.27211,-0.357302,-1
-3.662828,0.070064,-0.725845,0.289631,-0.213442,1
-2.997242,2.727051,-0.128458,-0.901093,-1.465711,-1
2.115656,0.24445,1.380524,-0.478941,0.389077,1
-1.357078,1.241737,0.105753,-0.700047,0.192177,-1
2.580973,-0.08945,0.540168,-0.201951,0.33018,1
2.388375,0.731111,1.961873,-0.529926,0.141509,-1
-3.906134,-0.150627,-0.739946,0.164136,-0.058433,1
-2.98065,-1.908049,-1.550016,2.756254,0.749804,-1
-3.6851,-0.248349,-0.741359,0.439886,0.057127,1
2.926709,-0.363524,1.056249,-1.034953,-0.228335,-1
-1.831306,-0.415148,0.169281,0.460305,0.189581,1
2.364685,0.292233,1.62437,-0.301172,0.418246,-1
4.282756,1.073964,-3.368491,0.226611,0.25895,1
2.651813,0.302462,1.621829,-0.178847,0.45157,-1
-2.541029,-0.007814,-0.283367,0.108801,0.008038,1
2.443194,0.377943,1.699521,-0.20122,0.330964,-1
3.678314,0.405794,-1.057427,-0.12278,0.412287,1
1.536218,0.456101,1.490933,-0.504187,0.196336,-1
3.088363,1.079534,-0.774457,3.817711,-0.54135,1
2.513869,0.349183,1.564052,-0.269263,0.37356,-1
-2.819132,0.18562,-0.445246,0.099461,-0.2084,1
0.775311,-2.286627,2.630979,3.993492,2.560763,-1
3.725084,1.350412,-1.257403,4.367399,-0.438165,1
-1.306132,-4.252899,0.860426,1.156187,-1.739331,-1
3.596406,1.626776,-1.870867,5.456027,-0.370328,1
4.424009,0.528468,2.735951,-0.396556,-2.164115,-1
4.034789,0.960785,-0.223853,5.521157,-0.333096,1
2.308149,0.646359,2.694107,0.60904,-0.649872,-1
-2.279487,-1.532074,-0.42468,0.877161,0.2967,1
1.723887,3.074951,3.39451,-0.39871,-1.873293,-1
-3.145603,0.327006,-0.556973,0.237267,-0.022295,1
2.592743,0.934273,3.274817,0.187231,0.83334,-1
-3.971281,0.245103,-0.658971,0.059262,-1.504296,1
2.172078,0.507753,0.055932,-0.84043,0.7499,-1
-3.585746,-1.155057,-1.341788,1.118251,-0.310888,1
1.667912,0.912239,3.037322,0.256675,1.133752,-1
-2.636008,-0.357982,-0.505543,0.35719,-0.836714,1
2.16922,0.441632,1.633993,0.072653,0.534747,-1
-2.463419,3.983471,-0.532001,-2.596321,-0.241641,1
1.026067,1.445756,0.424145,0.804222,-0.258105,-1
-1.229739,2.171215,-0.139873,-1.86276,-0.489695,1
1.499808,-0.614848,4.626918,-2.068371,-4.364164,-1
-0.700555,2.883071,0.257149,-2.260797,0.012962,1
-0.158204,-0.24425,2.04241,-1.277803,3.960001,-1
3.673569,1.766286,-1.766712,4.368758,-0.420519,1
0.459627,-0.800023,2.597007,0.577639,-2.329569,-1
5.724706,2.358312,-5.617074,-1.08746,-0.21413,1
3.442924,1.976974,3.455134,3.234182,-2.312783,-1
-3.17591,-4.380137,-0.687877,2.312767,0.854116,1
1.430226,2.913945,3.557564,0.617954,-0.908769,-1
1.352271,1.553788,1.190247,-1.056015,0.176966,1
2.574623,-0.184054,2.238352,-2.50341,0.766061,-1
-1.210711,-2.27568,-0.324866,-0.464805,0.164562,1
2.16629,-1.01993,3.150806,1.229363,0.431011,-1
-3.085706,0.084817,-0.576004,-0.017545,0.056891,1
-2.181478,-3.652008,-1.57277,2.047856,3.45982,-1
-3.780933,0.054674,-0.748866,-0.226953,-1.531838,1
2.370313,0.008536,2.088629,-0.114498,1.361106,-1
-3.445792,-0.069489,-0.657252,-0.03208,-1.144962,1
-0.78784,-0.279922,1.880488,1.083728,-1.946825,-1
-2.154581,3.60611,-0.006705,-2.541718,0.198011,1
2.276258,3.341863,1.683187,1.336929,1.992325,-1
-3.420073,-0.265469,-0.50841,0.117111,-0.412971,1
3.247636,5.163638,1.092539,1.243424,-0.072778,-1
-3.409525,-0.157998,-0.616832,0.319675,0.276973,1
4.910039,2.342405,0.470034,1.078971,-0.241475,-1
-2.051037,-0.659616,0.244694,-0.179869,0.789193,1
3.129339,-0.262806,1.337036,-0.76764,1.434918,-1
-3.103365,0.155082,-1.101848,2.319409,-0.511065,1
0.930269,-0.085293,5.295562,1.432595,0.548781,-1
-0.111476,0.173496,0.601813,-0.17838,-0.022392,1
4.022565,1.176828,2.46825,1.733721,0.436826,-1
-2.981405,-0.042678,-1.533513,1.252201,0.513838,1
-3.068407,-2.074724,-0.644681,3.859124,-5.002089,-1
3.73417,1.596411,-1.706172,4.054608,-0.393039,1
-4.817104,-1.560539,2.396044,1.17647,2.760223,-1
-0.681339,-3.802188,-0.100266,0.161544,0.30818,1
0.437492,-1.740648,2.220007,-1.537785,-4.000016,-1
1.234306,-5.900207,0.130552,-0.510802,0.488793,1
3.606364,2.541566,2.097483,3.292868,3.396369,-1
2.181064,-3.277863,-0.006383,-0.774446,0.417292,1
-3.917566,0.982508,0.063078,0.291931,-0.390115,-1
-0.357976,-5.159075,0.117361,0.53853,0.339118,1
1.851782,0.283006,1.958978,0.901205,0.705059,-1
2.360834,-5.154341,-0.021818,-1.136392,0.568812,1
2.485685,-0.450534,1.901062,3.059799,-0.431419,-1
4.466918,1.378197,-3.157474,1.114502,0.066572,1
-2.680638,0.496823,-2.454192,3.982614,2.739849,-1
-1.375713,-2.718833,0.625161,1.036366,0.285104,1
2.206062,0.079232,2.840416,1.032944,-0.64731,-1
-3.705509,-0.27929,-0.767595,0.318053,-0.066574,1
3.485439,1.120016,5.16723,-1.994867,-4.007672,-1
-1.484176,-0.31537,0.288471,0.245536,0.351492,1
-2.17669,-1.218476,-0.705977,0.306365,-3.398841,-1
-3.555447,1.470371,0.283138,-1.09783,-0.498772,1
2.200657,-1.757873,0.819424,-0.089222,0.424793,-1
-1.372109,0.11736,0.033443,-0.084927,0.074377,1
2.202714,0.55901,1.656402,-0.150387,0.597936,-1
-1.953946,0.129156,-0.152417,-0.009186,-0.479583,1
2.391937,0.603906,2.153223,-2.124063,-0.392903,-1
-3.240435,0.730714,-0.639318,-0.213842,-0.128641,1
1.873012,1.490017,0.681721,-1.438385,1.166284,-1
-3.220005,0.535321,-0.634811,-0.127165,-0.084973,1
-1.933899,1.343673,0.34061,-0.367717,-0.39408,-1
-2.774524,0.443916,-0.453298,-0.02146,-0.1237,1
2.37846,-0.714051,1.296688,0.53193,0.043696,-1
-0.806051,0.360007,0.457464,-0.055718,-0.092328,1
2.410237,1.213486,2.547798,0.185136,-0.652435,-1
3.979312,-0.892228,-2.275754,0.004765,-0.410891,1
0.950338,0.142995,1.008403,1.174331,0.204548,-1
4.293506,1.697671,-3.262039,1.379509,0.057128,1
2.632076,1.50478,0.979333,1.204159,-0.280507,-1
3.876948,2.043132,-2.780919,3.507741,-0.237239,1
3.769588,1.400185,-0.500103,1.571559,0.306907,1
3.485121,1.684528,-1.741637,4.551406,-0.302137,1
-1.52406,-0.08006,0.359944,-0.15963,0.2107,1
-1.573879,-0.478344,-0.428629,0.204048,0.047298,1
-1.660699,-0.548825,0.058932,0.126155,-0.439711,1
-2.341411,-0.090572,-0.240318,0.102199,-0.254258,1
-0.175747,-0.176678,0.539113,0.240271,0.552444,1
1.195368,-4.62728,0.279622,-0.50131,0.484768,1
1.269852,-5.617119,-0.149347,-0.83707,0.579103,1
2.804367,-4.651768,-0.489556,-1.791863,0.631499,1
2.914022,-6.090206,-0.101681,-1.652584,0.698556,1
3.450502,-4.94765,-0.482098,-2.064569,0.648448,1
3.763851,-1.373858,-0.884496,-1.705431,0.465247,1
-1.061551,-1.473755,0.020911,0.703497,1.545645,1
-1.297402,-1.103169,0.148884,0.015083,-0.009947,1
-1.309346,0.276701,-0.156194,-0.504285,-0.006834,1
-3.627241,0.110182,-0.792044,0.218826,-0.212981,1
-0.887343,0.505701,0.792248,-0.972726,0.522609,1
-1.622887,-0.769155,-0.059017,0.973485,0.316069,1
-1.313606,-0.000111,0.373273,-0.08872,0.263839,1
-1.010101,-0.240004,0.113338,-0.652541,-0.111019,1
-1.588244,0.128848,-0.2311,0.065905,-0.409365,1
-1.240657,0.043302,0.224285,0.117044,0.171181,1
-0.009144,-0.118209,0.74424,-0.245362,-0.18124,1
1.200743,-4.918911,-0.082757,-0.680661,0.682479,1
3.07043,-5.192069,-0.508001,-2.097774,0.666331,1
4.357661,-3.484804,-1.653062,-2.778168,0.651009,1
4.343675,-4.23586,-1.195405,-3.058127,0.701685,1
5.329159,-1.377722,-2.645092,-3.284354,0.617167,1
4.30599,0.529792,-2.836514,0.025254,0.181592,1
2.773777,-0.059106,0.628939,-0.171274,0.310188,1
-1.669725,0.34811,-0.046824,-0.231237,0.738421,1
0.224023,-1.093644,0.078141,-0.098255,-0.06138,1
-2.651847,-0.360172,-0.559266,0.343237,-0.260147,1
-2.952307,0.269437,-0.769995,0.731839,0.315244,1
-2.850829,-0.170406,-0.44761,0.320087,-0.022918,1
-0.500666,-0.186915,0.679576,-0.231694,-0.393208,1
-1.653795,0.740553,-0.107958,-0.79932,-0.585796,1
-2.479688,1.134297,-0.354196,-0.52524,-0.383137,1
-2.815361,0.628882,-0.537928,0.30961,-0.041162,1
-1.810139,0.713813,0.071968,0.090509,0.7114,1
-0.95459,0.756768,0.206822,-0.080758,-0.171493,1
5.478834,-1.434963,-2.476381,-3.468604,0.564971,1
5.733455,-0.56216,-3.265538,-3.777489,0.620558,1
5.654373,1.207201,-3.202151,-2.479314,0.411202,1
4.680167,0.29758,-3.076914,-1.500982,0.369109,1
5.285707,0.927619,-4.007653,-2.083823,0.46273,1
4.508797,1.108019,-3.23189,-0.958293,0.371638,1
-3.810958,0.584374,-0.817146,-0.14418,-0.173223,1
-3.569168,0.232208,-0.688176,0.0446,-0.089482,1
-3.591266,0.410683,-0.686567,-0.126526,0.139917,1
-1.697633,0.130419,0.197821,-0.187758,0.029027,1
-0.017917,0.431129,0.655281,-0.686708,0.660953,1
5.63124,-4.549512,-1.19065,-3.932726,0.056057,1
5.452922,-2.191262,-2.238182,-3.2347,0.248788,1
4.745548,0.549374,-3.36282,-0.883382,0.151944,1
5.146677,1.482788,-4.298709,-1.339821,0.376079,1
4.978681,1.88082,-4.1167,-0.034056,0.197207,1
-3.923877,0.283338,-0.914224,0.117292,-0.64001,1
-3.425838,-0.118032,-0.206818,-0.116355,-0.274647,1
4.473279,0.442431,-2.759512,-0.382308,0.228373,1
4.681742,1.597826,-3.662948,-0.027847,0.225323,1
4.308809,2.338627,-3.921859,1.77417,0.032585,1
-3.104924,0.167472,-0.552313,-0.115559,-0.555857,1
-2.031769,-0.595758,-0.165325,0.037986,0.213782,1
-3.148058,-0.493073,-0.567076,0.420304,-0.082702,1
-3.927313,0.226693,-0.857134,0.153193,-0.148397,1
-3.294638,-0.103936,-0.54483,0.295412,0.04421,1
-3.53523,-0.193424,-0.666092,0.327555,-0.28788,1
-0.579303,-0.129002,0.627468,0.153873,0.749451,1
4.437005,0.855336,-3.267059,0.294162,0.21353,1
4.480583,1.75134,-3.635448,0.96652,0.099351,1
4.132459,2.490019,-3.913898,2.584476,-0.076967,1
3.42662,1.244403,-1.891915,3.685528,-2.420468,1
2.253206,1.606645,-1.148789,3.396362,-1.16873,1
-3.54249,-0.113392,-0.635979,0.299692,-0.110884,1
-3.222332,-0.411836,-0.36222,0.329884,-0.015522,1
-2.916211,-0.354656,-0.396429,0.272074,-0.046074,1
-2.94228,-0.167129,-0.529277,0.189751,-0.243862,1
-3.761723,-0.369424,-0.794233,0.451829,-0.137534,1
-3.827886,-0.139506,-0.846683,0.326345,-0.151923,1
-3.847279,-0.481612,-0.805473,0.526087,-0.094291,1
4.46133,1.512832,-3.52303,0.639646,0.162442,1
4.021695,2.512882,-3.767064,3.012111,-0.137047,1
3.865019,1.45226,-0.694918,1.955244,0.111539,1
3.480086,1.380893,-0.953273,4.466827,-0.430501,1
2.879758,0.660131,1.661152,0.711096,0.290238,1
-3.72945,-0.416673,-0.746154,0.445502,-0.122694,1
-2.670633,0.082177,-0.28148,-0.054955,0.214819,1
-0.806036,0.43658,0.63897,-0.526137,0.220123,1
-2.405442,-0.179032,-0.305985,0.014629,-0.130508,1
-1.340609,-0.574055,-0.02235,1.466815,0.4356,1
-3.152355,0.000433,-0.409532,0.097266,-0.5023,1
-3.557252,-0.324287,-0.638926,0.26528,-0.265814,1
-3.507037,-0.204462,-0.638271,0.18024,-0.163966,1
-3.304218,0.342964,-0.680034,-0.058584,-0.051444,1
-2.701796,0.230099,-0.52859,0.036927,-0.372115,1
