'0.262f10+0.26 f09+0.257f07+0.255f04+0.254f13...',-0.553f01-0.395f03-0.349f02+0.311f18+0.249f17...,-0.466f18+0.428f21+0.353f17+0.349f20+0.268f02...,0.308f05-0.304f12-0.287f18+0.274f15+0.258f08...,'0.46 f20+0.391f18-0.345f17+0.308f21+0.286f03...',class
-1.91568,1.088726,-0.103822,-0.393237,0.269684,-1
-2.210524,0.746266,-1.158292,-0.613576,-0.380907,-1
-1.656295,0.878936,-1.028042,-0.767142,0.466476,-1
0.675772,2.281674,-1.481904,0.295179,0.529739,1
1.587035,2.311726,-1.411243,0.184213,0.50031,1
1.597154,2.309349,-1.485078,-0.436763,0.427706,1
0.221852,2.417766,-1.027932,0.227711,1.320562,1
0.625264,2.404973,-1.384017,0.293759,0.881011,1
1.336383,1.645484,-1.325208,0.416326,0.592839,1
-3.171897,-1.918456,-0.179381,-0.067402,-0.58911,-1
-3.143845,-1.665413,0.091465,-0.081489,-0.967895,-1
-3.518811,-2.581376,-0.780248,-0.524689,0.228469,-1
-3.790615,-3.542858,-1.295146,-0.568885,0.331536,-1
-4.37619,-3.326587,-1.40049,-0.440272,-0.037597,-1
-3.702679,-2.358955,-0.883527,-0.072042,-1.064903,-1
0.924664,0.659466,-0.265624,0.40125,-0.306374,1
1.12399,0.760685,-0.534706,0.891068,-0.403811,1
2.821222,-0.111899,-1.498387,0.010795,-1.953171,1
1.706713,-0.313038,-1.247911,-1.162575,-2.36308,1
0.901967,0.349641,-0.764435,0.323296,-1.029186,1
3.003445,0.469952,-0.018277,-0.340806,-0.780445,1
-1.773265,1.70671,-0.079767,-0.028165,0.924969,1
-0.520941,0.314199,0.43159,1.091316,1.548044,1
-0.878358,1.782786,-1.406625,-0.363045,0.764858,1
-0.891624,2.206936,-1.27911,-0.084357,0.92506,1
0.483273,1.536305,-0.777218,-1.452718,0.116942,1
-1.317081,2.095328,-1.708215,-0.230663,0.735621,1
0.670382,2.584333,-0.593028,-0.141457,-0.550899,1
2.348047,2.073376,-0.998927,0.969479,0.294034,1
2.075848,1.905739,-0.501919,-0.424003,-0.348694,1
1.057816,2.112082,-0.865056,0.196959,-0.426882,1
0.088496,1.990983,-0.849546,0.355952,-0.094291,1
-1.326667,1.769003,-1.279157,0.156209,-1.453613,1
3.096383,-0.183373,1.75794,-1.221172,0.114558,1
0.921354,-0.620158,1.791927,-1.860083,0.529346,1
0.30633,-0.529934,1.614011,-1.773295,-0.328515,1
3.727001,-0.888231,1.650473,-3.264501,-0.640465,1
3.588447,-0.356557,1.69321,-3.447234,-1.318513,1
3.596602,-0.460696,2.563801,-1.316944,1.780071,1
5.522928,0.051943,2.553127,-2.467778,-0.244761,1
3.080056,-1.257305,-0.456686,-4.630024,-2.444544,1
0.242335,-0.617291,-0.917532,-1.603806,-1.231722,1
1.436912,-0.320309,-0.368475,-2.788182,-2.373843,1
-0.56901,0.296106,0.120286,-1.083796,-1.438809,1
-0.971372,-0.589686,-0.239093,-1.21035,-0.514978,1
-1.104232,-0.913691,-0.192673,-1.384682,-0.239707,1
4.135251,0.742809,0.053148,1.482333,0.131054,1
4.467053,-0.16199,-0.884856,1.485908,-1.272778,1
8.958381,-0.543564,-0.913982,1.854966,-1.268413,1
15.582696,-2.740197,-2.977773,4.769132,-1.875707,1
7.082916,0.02258,0.34063,1.295915,-1.092697,1
14.692483,-3.66777,-1.105414,4.817845,-0.948741,1
-3.877642,0.132666,-1.290365,0.481929,-0.542777,1
-4.391022,-0.595774,-1.073934,0.16134,0.039012,1
-3.5242,-0.034542,-0.912917,0.002445,0.176012,1
-4.214218,-0.525475,-0.554128,0.110303,0.172834,1
-3.100717,-0.123013,0.153567,-0.06788,0.594022,1
-4.169797,-0.460804,-0.466024,0.234554,0.260467,1
0.377036,-0.2356,0.391587,-0.051844,0.457827,1
-0.575995,-0.258105,0.520482,0.29844,1.0988,1
-1.921505,-2.231527,-0.810958,0.058679,1.217651,1
0.115688,-1.180157,-0.351455,0.448079,1.314978,1
-1.754258,-1.397786,0.02536,0.09405,1.512861,1
-1.699535,-1.526009,0.364365,-0.109535,0.559375,1
0.027399,-0.833189,1.689478,2.905873,1.568966,1
-2.063546,-0.727167,2.044081,1.749284,0.885366,1
-0.682019,-0.186032,3.018706,1.482264,2.380554,1
-1.496215,-0.273026,3.184115,1.478023,2.203281,1
-2.017035,-0.750314,3.366325,0.811454,1.247112,1
-1.105715,-0.605544,1.661127,1.63405,0.88041,1
-1.973216,0.201931,1.473966,1.25841,1.375621,1
1.66225,0.409331,-0.61955,-0.687866,-1.37158,1
0.32962,0.101171,-0.293012,0.999856,-0.752228,1
-0.405849,0.510066,-0.377566,0.897216,-1.345939,1
-0.097865,0.91312,-0.638997,1.105682,-1.378559,1
-0.283432,0.916275,-0.537104,0.356657,-1.79741,1
-0.092954,0.251542,-0.437383,0.279322,-1.413049,1
-2.962307,0.516647,-0.627896,1.063581,-0.49026,1
-3.038555,1.425256,-0.163349,0.582502,-0.042939,1
-1.84523,0.94625,-0.15563,0.78744,0.189835,1
-2.127476,1.090575,-0.149787,0.409611,0.390098,1
-1.978837,1.681573,0.583012,0.619816,0.638126,1
-3.042976,1.128025,-0.671207,0.688887,-0.363969,1
2.448341,1.730551,0.48262,-1.516878,-0.971948,1
1.566566,1.37541,1.343897,-1.190056,-0.697452,1
2.022766,1.533907,1.187389,-1.587095,-0.755535,1
2.81998,1.247415,1.314476,-1.890614,-0.889962,1
2.47988,0.974443,0.929741,-2.30784,-1.663505,1
-0.268679,1.054498,0.914302,-0.566176,-1.068989,1
1.209641,0.668307,3.26744,-0.237062,0.654258,1
4.060832,-1.480633,1.65962,-2.194387,-1.583933,1
0.105597,-0.773321,1.868681,-1.174585,-0.288377,1
-1.375766,-0.752272,1.891011,0.492662,-0.722742,1
-1.63969,-1.704357,1.613958,-0.800814,-0.297447,1
-0.608422,-1.04824,3.665098,0.223534,0.019224,1
9.323653,-0.57167,0.421809,-2.491909,2.040647,1
6.293922,-1.344636,-0.161089,-1.158229,1.91393,1
8.429257,-1.467602,-0.058236,-1.047645,1.758961,1
6.872704,-3.987677,-0.558957,-0.687977,1.635446,1
7.552291,-1.852731,-0.984949,0.26616,1.430493,1
17.832837,-3.061928,-1.927817,-0.930798,1.248417,1
13.180694,-2.805532,-1.512629,0.538186,1.632013,1
0.067129,0.974458,0.070462,1.179937,-0.903288,1
0.646862,1.241657,0.809389,1.338901,-1.107762,1
0.717184,1.26078,1.00209,0.699773,-0.939787,1
0.113831,0.61372,1.242295,1.525167,-0.719392,1
5.98912,0.076188,-0.00128,3.050157,-0.19493,1
1.649141,0.478816,1.376848,1.784321,-0.260733,1
0.399393,0.913706,0.508225,0.274603,-1.215894,1
1.08087,1.689319,0.662583,-0.216605,-1.213073,1
0.753267,0.894089,0.489829,0.145551,-0.739503,1
1.303806,1.436697,0.497667,-0.099135,-1.163859,1
-1.238586,1.303149,-0.175601,1.223858,-1.123421,1
2.667778,2.524003,1.775743,1.66063,0.791075,1
-2.352429,-1.896833,1.069154,-0.227203,-1.117589,-1
-3.820651,-3.050441,-0.325774,0.057696,0.06221,-1
-2.988052,-3.792309,-0.173928,-0.569667,-0.594871,-1
-0.242498,-1.055587,-0.002047,0.737869,0.789769,-1
-2.439369,-3.690567,-0.744414,-0.128022,-0.379671,-1
-2.485571,-3.325858,0.03333,-0.140877,-0.282654,-1
-2.670689,1.299172,-0.842376,0.274842,0.439717,-1
-2.663111,1.547722,-1.618934,0.142477,0.295208,-1
-2.655515,1.560582,-1.484705,0.274562,0.206204,-1
-2.38345,1.313022,-1.137678,0.1641,0.240896,-1
-2.536737,1.415139,-1.192285,0.149017,0.261966,-1
-2.620289,0.976754,-1.734511,0.109091,-0.101115,-1
-2.773172,-0.030124,-0.307233,-0.14019,0.626166,1
-2.626979,0.252306,-0.86413,-0.317635,0.549717,1
-1.889649,0.504648,-0.103256,-0.177297,1.741904,1
-1.649826,-0.241435,-1.198544,-0.851475,0.382822,1
-1.637387,0.320876,-0.291549,-0.37092,1.272625,1
-2.304846,-0.34521,-1.463833,-0.656723,0.114547,1
-1.436552,1.336741,0.318131,0.703389,-1.028431,-1
-0.804918,1.23479,1.024451,1.520963,-0.756154,-1
-2.162743,1.123561,0.611176,1.029221,-1.255001,-1
-1.92373,-0.931113,1.338468,2.323641,-0.547273,-1
-2.98481,-0.864601,1.43225,1.945786,-0.491041,-1
-3.010705,1.06915,-0.060785,1.072401,-1.680988,-1
-0.567308,-1.507016,0.253187,0.781236,-1.203658,-1
0.125004,-1.535583,0.537846,-0.903604,-1.669939,-1
-0.570946,-1.616568,0.710668,0.052798,-0.457218,-1
0.998801,-1.920548,-0.36082,2.682562,-0.731765,-1
-0.613763,-2.085023,0.821129,1.787148,-0.830823,-1
-1.151851,-1.265797,1.104421,1.075198,-0.185063,-1
