0.707f02+0.707f01,-0.707f02+0.707f01,class
-0.994251,0.957314,-1
-0.382688,-1.314594,-1
-0.103241,0.313961,1
0.501252,-1.054298,-1
-0.63293,-0.255325,1
0.130167,0.980102,1
0.494354,1.132165,1
0.763166,0.764346,-1
0.66396,-0.214208,1
-0.991367,0.762215,-1
-1.465882,0.429117,-1
-0.376852,0.952483,-1
-1.281332,0.274269,-1
-1.185125,0.738157,-1
0.826656,0.478797,-1
-0.985707,0.810301,-1
-1.335105,-0.121732,1
2.093153,0.69316,1
-0.30342,-0.446225,1
-1.139869,0.726847,-1
0.013023,-0.003639,1
0.283419,-1.498397,-1
-0.848506,-0.778056,1
0.862652,-0.383198,-1
-1.988558,-0.868519,1
-1.218418,0.000612,-1
-1.569875,-0.127407,-1
0.883311,1.549405,-1
-0.810121,0.858612,-1
1.301081,-0.311035,-1
1.750806,-0.483541,1
-0.479388,0.931968,-1
0.070766,0.956054,1
-0.066581,-1.097478,-1
0.574881,0.037525,1
-2.524493,0.063444,1
0.538117,0.12945,1
1.477856,-0.431235,1
-1.058566,0.497034,-1
-0.511402,-1.511188,-1
2.057769,0.346661,1
-0.909353,0.58968,-1
-1.001824,0.879033,-1
-0.822387,0.444725,-1
-1.092532,0.200034,-1
-0.683552,0.758916,-1
0.713568,1.153396,1
1.411518,1.2475,-1
-0.892372,0.719795,-1
-1.263735,-0.758855,1
-1.07488,-0.135854,1
1.436067,-1.293236,1
0.084977,1.824418,1
-0.66328,0.46383,-1
-1.088362,-0.72207,1
-0.245274,1.593158,1
-0.89167,0.649788,-1
-0.070606,1.654693,1
2.213335,0.304245,1
0.5969,1.284207,1
-1.74662,0.360502,-1
1.257185,-0.991303,1
1.378192,0.106888,-1
0.130696,-1.272125,-1
-1.135742,-0.74541,1
0.228322,-0.750252,1
-0.084135,0.481554,1
-0.38605,0.87399,-1
-0.587752,-1.250968,-1
2.460832,0.297193,1
-0.576579,0.540632,1
-0.145603,1.141307,1
0.664173,0.686541,-1
0.617994,-0.237547,1
1.050027,-0.576231,-1
-0.686677,-0.316143,1
-0.222108,-0.555825,1
1.243194,0.92079,-1
-0.308283,0.654785,-1
-1.308231,-0.087787,1
-0.912447,-0.968705,1
-1.492772,0.190103,-1
0.699426,1.167538,1
-1.751698,-1.26096,1
0.650808,0.692834,1
-1.215627,-0.467512,1
-1.076303,-0.234853,1
0.681052,1.313206,-1
0.195038,-1.360512,-1
-0.335115,1.149777,1
-0.266019,-1.41712,-1
1.371053,-0.750161,-1
-1.238954,-0.359322,1
1.149797,0.226376,-1
-0.994926,0.475825,-1
-1.190898,-0.732685,1
0.463794,-0.804682,1
0.750324,0.975201,-1
0.930011,1.912877,-1
-0.076437,-0.544499,1
0.261715,1.237509,1
-1.619361,0.03523,-1
-0.287184,-0.801913,1
0.618752,0.40241,-1
-0.558118,0.602932,1
-1.336498,0.148394,-1
-0.27876,-1.574105,-1
0.601667,-1.038733,-1
0.297112,1.753721,1
0.134457,1.576924,1
-0.587724,-0.8974,1
-0.881111,0.039531,1
0.254607,0.777871,-1
0.560773,0.485848,1
-1.746656,-0.092064,1
2.467948,0.855831,1
-1.030979,0.609471,-1
-0.662684,-0.935592,1
-0.540266,0.120172,1
1.185831,-1.048516,1
-1.008407,-0.10332,1
0.80053,0.967426,-1
-0.078246,-0.169293,1
0.892955,0.988153,-1
-0.265287,-1.102444,-1
2.071867,-0.219047,1
1.588879,-0.390919,-1
1.293336,0.101224,-1
1.189974,-1.412054,-1
-2.326546,-0.587105,1
-0.955328,0.458857,-1
-1.058048,-0.99283,1
0.695103,0.160576,1
-0.241108,0.614483,1
-1.573365,0.448908,-1
-1.509015,0.456692,-1
0.206516,0.70291,1
-2.156818,-0.389094,1
-0.750922,1.00266,-1
-0.37545,0.796913,1
-1.203533,0.451059,-1
-1.175234,0.620773,-1
0.611534,-1.453114,-1
0.364755,-1.303928,-1
-1.598925,-0.862124,1
-0.728457,-1.053688,1
-0.952314,1.013393,-1
1.357135,-1.4853,-1
-0.838649,0.479373,-1
-0.110937,1.345672,1
-1.996318,-0.634457,1
0.893083,-0.067106,-1
-1.520515,-1.888171,-1
-0.563528,1.048639,-1
0.579899,0.905181,-1
1.294089,0.686025,-1
0.960982,0.101198,-1
-0.780714,0.732461,-1
-0.756378,0.86993,-1
-0.148563,-0.521877,1
-0.00014,-1.470841,-1
0.206558,1.236091,1
-1.038013,1.083251,-1
-0.723112,0.719356,-1
-0.440684,-1.454612,-1
1.125709,-0.344992,-1
-0.404405,1.264328,1
0.103835,-1.142015,-1
-1.183712,0.711286,-1
-1.732483,0.28979,-1
-0.378921,1.615069,1
-0.441191,1.071984,-1
1.232492,-0.280634,-1
-1.487181,-0.64856,1
-1.617884,0.828636,-1
0.668181,-0.489991,-1
0.635785,1.188747,-1
1.229655,-0.382462,-1
-0.536808,-0.863454,1
0.515486,0.098334,1
1.325145,-0.046565,-1
2.213363,0.657812,1
1.187923,-0.523185,-1
-0.461719,0.811049,-1
-0.823238,-1.369078,-1
-1.266513,-0.125262,-1
1.781864,-1.187846,-1
1.466553,-0.28698,-1
-0.073621,-0.698655,1
-1.552235,-0.611794,1
-0.062889,0.877552,1
-1.03666,0.312473,-1
1.940289,-0.859722,1
-1.156178,0.159015,-1
0.71006,1.510499,-1
2.482091,0.869974,1
1.481524,1.248213,-1
0.611833,0.546524,1
0.339546,1.824438,1
1.344961,0.154263,-1
-0.509793,0.946816,-1
1.046601,0.806219,-1
-0.718375,1.247332,-1
-1.940451,-0.591318,1
-0.620248,-0.836589,1
0.866231,0.169075,-1
-0.248268,-0.504206,1
1.226481,-1.177565,-1
2.100202,0.417377,1
0.222649,-0.952493,1
0.298498,1.398739,1
-0.9449,-1.813169,-1
-0.444927,-0.566379,1
1.268609,0.40034,-1
-0.397556,-1.540172,-1
-1.569874,-0.113265,-1
-0.20017,-0.347218,1
-0.068507,1.37396,1
-0.154125,0.678839,1
-1.259446,-0.169104,1
-0.206626,-1.5048,-1
-0.649189,-0.18532,1
0.50476,-1.40433,-1
-0.258891,-0.702912,1
0.47389,1.67595,1
-1.159091,-0.905931,1
-0.536757,0.67096,1
-0.879645,0.704239,-1
0.499297,1.042359,1
1.499107,0.042548,-1
2.418327,-0.678658,-1
0.209407,-0.296838,1
1.670203,-0.35202,1
1.187995,0.381948,-1
0.105922,-1.576903,-1
0.273126,-0.214734,1
1.31458,0.481665,-1
0.268559,-1.626389,-1
0.584751,-0.337256,1
1.134884,-0.576224,-1
1.068494,0.444874,-1
1.233879,-0.618645,1
0.018413,0.647739,1
0.043199,1.105258,1
-0.565706,0.329482,1
1.455995,0.326106,-1
-1.22836,-0.525498,1
-1.521745,0.429819,-1
-0.159244,-1.453175,-1
0.966604,-0.334397,-1
1.219052,-0.336499,-1
-0.164077,0.019788,1
-1.683019,-0.155702,1
-1.148349,0.789074,-1
2.595229,0.813413,1
-0.702903,0.169658,1
1.174516,-0.166083,-1
1.721755,-1.219672,-1
1.276395,0.491562,-1
-1.03311,0.494207,-1
-0.844288,0.69717,-1
-0.412229,0.689426,-1
1.200741,-1.175022,-1
0.278628,0.503504,1
0.70698,-1.668783,-1
2.545732,0.848765,1
-0.530463,-1.110244,-1
-1.850663,-0.822544,1
-0.18099,0.758036,1
2.284051,0.332536,1
1.173772,-0.622185,-1
0.768666,0.425051,-1
-0.8891,0.963474,-1
0.98643,-0.908519,-1
-1.287662,0.706328,-1
1.546431,-0.645491,1
-1.383877,0.14344,-1
-0.197884,1.739539,1
-0.324658,-0.746052,1
1.407807,-0.967956,-1
0.992806,0.144335,-1
-0.91561,1.050096,-1
-0.932038,-0.125943,1
0.550727,-1.372505,-1
0.806835,0.217156,-1
0.186419,-0.184066,1
0.913564,-0.402994,-1
-1.350067,-1.535297,-1
-1.137833,-0.361435,1
-1.246729,-0.323258,1
-0.01428,-1.442557,-1
0.353313,-0.23778,1
0.339843,0.218816,-1
0.142934,1.46944,1
-0.777083,1.047208,-1
0.416473,-0.074215,1
0.726055,0.787313,-1
0.663271,0.012782,1
1.229798,1.42922,-1
-1.27708,0.391653,-1
-1.690094,-0.205202,1
-0.979382,0.308942,-1
-0.617488,-1.702123,-1
0.021347,1.972911,1
-0.434269,-0.806168,1
-0.514871,-0.671818,1
-1.521847,-0.854339,1
1.301126,0.254673,-1
1.469442,0.482384,-1
-1.236765,0.488534,-1
-1.101024,1.02024,-1
1.008355,0.045338,-1
1.68291,-0.622145,1
2.029437,-0.233193,1
-0.947553,0.408651,-1
-1.25667,-0.83664,1
1.260409,-1.355761,-1
0.141279,-1.569829,-1
0.697998,0.999239,-1
-0.917126,0.666758,-1
1.383189,0.695932,-1
0.410704,-1.498387,-1
-0.046716,-0.2673,1
-0.448908,1.856197,1
1.144184,0.779355,-1
0.646217,0.754,1
1.031723,0.453357,-1
-0.18754,-1.580462,-1
2.772,0.650785,1
1.033212,1.399504,-1
-0.46186,-0.96669,1
-0.145028,-0.522583,1
1.480026,0.188924,-1
1.116606,0.792789,-1
1.785413,-1.02874,-1
1.04588,0.637213,-1
0.467532,1.753028,1
-0.52622,-1.100343,1
-1.399377,0.863303,-1
1.747252,-0.71336,1
1.631263,-0.956624,-1
1.640517,-0.183724,-1
0.866239,0.272317,-1
-1.37041,0.53873,-1
1.243742,-1.089596,1
-0.230532,0.222024,1
-0.562107,1.13491,-1
-2.100259,-0.544659,1
-1.718385,-0.275918,1
-2.001248,-0.389082,1
-0.734724,0.164706,1
-0.292195,-1.574813,-1
1.204962,0.336693,-1
0.141988,-1.554979,-1
-0.598144,1.466553,-1
2.131342,0.739834,1
0.93126,-0.183073,1
1.59601,0.355817,-1
-1.559214,0.547908,-1
-0.804251,0.864482,-1
-1.837215,-0.666266,1
-1.473122,-1.709262,-1
0.66406,1.047322,-1
0.18459,-0.246704,1
-0.802106,0.810061,-1
-1.111616,0.31671,-1
-2.227498,0.035182,1
-0.844127,0.951881,-1
1.598071,-0.410011,-1
-1.064909,-1.014257,1
-0.702129,1.009028,-1
1.441857,0.396818,-1
1.231776,-0.394483,-1
0.951783,0.031191,-1
0.336097,0.240949,1
0.451757,-1.004803,-1
-0.861414,-1.260183,1
0.777735,-1.145497,-1
0.272309,1.081233,1
0.245249,-1.310302,-1
1.368748,-1.289847,-1
0.961793,1.414349,-1
-0.897952,0.799064,-1
-0.522541,0.700731,-1
-1.078111,1.043153,-1
0.254466,-0.999868,-1
0.897466,0.799772,-1
0.601246,2.581094,-1
1.682973,0.169847,-1
0.470128,-1.184414,-1
-0.137859,0.702176,1
-0.113005,2.0224,1
-1.91288,-0.689607,1
-1.569852,0.155447,-1
0.876087,-0.381076,-1
-0.959747,0.906968,-1
-0.18468,-1.191537,-1
1.155472,0.456902,-1
1.352642,-1.079688,-1
-0.876869,0.93328,-1
-0.45038,1.119361,1
-2.616403,0.282649,1
-0.113143,0.287089,1
-1.866882,-0.254715,1
0.786974,-0.564938,-1
0.008506,0.560053,1
0.104734,1.281339,1
0.068531,-0.475896,1
2.361869,0.749752,1
0.716906,-1.3336,-1
0.155601,0.693007,1
2.022389,0.056732,1
1.419215,0.221447,-1
-0.226447,-1.767856,-1
-1.366874,0.542266,-1
1.615668,-1.438892,-1
-1.101687,0.680179,-1
-0.004989,-0.191633,1
1.79609,-0.141284,-1
-1.141993,0.69644,-1
-1.372584,-0.126685,-1
-0.063546,1.520338,1
1.279108,-0.96938,1
1.02664,-1.235991,-1
1.470747,-0.905016,1
-1.026819,-0.430018,1
1.309623,0.401758,-1
0.492744,-1.345639,-1
2.404276,0.481044,1
-0.998472,0.337933,-1
0.780736,1.029653,1
1.042587,-1.036202,-1
1.040859,-0.261557,-1
0.319697,1.207814,-1
1.286271,0.184665,-1
-1.074782,1.103048,-1
-1.219086,0.492071,-1
0.330809,-1.352016,-1
0.908686,0.505675,1
-0.802706,-1.050159,1
-1.113827,-0.8239,1
-1.375455,-0.661279,1
-2.107312,-0.311305,1
-1.598194,-0.551691,1
0.547225,-0.937617,-1
0.541084,1.877489,-1
-2.149755,-0.495164,1
-0.794958,-1.43979,-1
-0.539472,1.214111,-1
2.475017,0.834617,1
-2.241653,-0.120389,1
-0.42297,-1.005579,1
-0.683189,-0.915086,1
1.175942,-0.018998,-1
1.066943,-1.280537,-1
1.473558,-1.128471,1
-0.234048,0.475885,1
1.115976,1.769343,-1
-1.263613,0.786943,-1
-0.534142,0.659434,-1
-0.157714,0.014839,1
0.219789,-1.349903,-1
-0.374029,0.880356,1
-1.076233,0.649067,-1
-0.723471,-0.601828,1
-1.400153,-0.008595,1
-0.766518,0.518978,-1
-1.274331,-0.620965,1
-1.053671,-0.193837,1
-0.328063,0.899452,-1
-0.353441,1.895097,1
1.190682,-1.397205,1
-1.817327,0.445353,-1
-0.303288,1.224029,-1
-0.605392,-0.758096,1
-0.974419,0.468048,-1
1.223311,-0.122944,-1
-0.709567,0.846033,-1
0.077634,-1.60519,-1
0.114455,-0.981494,1
1.419236,0.490159,-1
1.155412,-0.301147,-1
-1.321656,0.052932,-1
-0.137291,-1.047985,1
-0.491229,0.525576,-1
-0.585676,-1.818798,-1
-2.418451,-0.297187,1
-1.055847,-0.88188,1
-0.785591,0.755867,-1
-0.876663,0.848636,-1
1.28202,0.078595,-1
1.363969,-0.912803,1
0.436175,-1.317358,-1
-0.73638,0.691946,-1
-0.699988,1.265719,-1
-0.957446,0.499163,-1
1.261516,0.117486,-1
-0.021101,1.732482,1
1.240294,0.018485,-1
-0.708494,1.002664,-1
1.001889,-1.2466,-1
0.27939,1.20569,1
0.226401,1.782001,1
0.489462,1.872535,-1
1.185846,0.040402,-1
1.407137,-0.501954,-1
0.806024,-1.103067,-1
0.700054,0.169769,-1
0.944594,-1.459452,1
-0.852906,0.815827,-1
-1.138213,1.096184,-1
-0.519898,-1.64413,-1
-1.545088,0.335769,-1
1.492785,0.572192,-1
0.982076,-1.407828,-1
-1.238869,0.712696,-1
-0.117119,0.082303,1
-0.656182,0.800427,-1
0.638451,-0.874675,-1
0.679532,-0.024695,-1
1.383046,-1.105849,-1
0.983611,0.111099,-1
0.588418,1.320977,-1
0.521232,1.218437,-1
-0.618798,-0.391094,1
-0.503404,1.26432,-1
-1.241525,1.106005,-1
-1.19228,-0.321133,1
1.096089,0.657724,-1
0.11373,-1.205656,-1
-0.210833,-1.049405,-1
-0.48501,1.367563,-1
-0.046643,0.651977,1
-0.379054,-0.077814,1
1.472872,-0.860466,1
-1.196522,-0.31689,1
-1.15403,0.486419,-1
-1.566366,-0.470368,1
-0.239709,0.423557,1
0.070829,1.753703,1
-0.661164,0.400895,1
-0.584956,-1.663935,-1
-0.645369,0.722148,-1
1.04726,0.201618,-1
-0.862814,-1.074913,1
0.669343,0.78745,-1
0.894641,-0.943742,-1
-0.838641,0.572715,-1
-0.121745,-1.193653,-1
0.272153,-0.888847,1
0.337513,0.262163,1
1.001859,-1.628453,-1
1.838503,-0.325136,-1
0.664067,1.146321,1
1.079497,0.98548,-1
-0.063792,-1.591059,-1
1.300409,0.128096,-1
1.027328,-1.47571,-1
-1.75732,-0.816879,1
-0.494759,-0.493917,1
1.289101,0.210123,-1
-1.12013,-0.049587,-1
0.454716,0.651309,1
1.219726,-0.74593,1
-1.704213,0.091794,1
-0.15545,1.810256,1
1.522503,0.797064,-1
-1.638534,-0.978097,1
-0.778473,1.356933,-1
-1.570536,0.451737,-1
0.075527,-1.423457,-1
-0.336514,1.346361,1
-0.40984,0.492418,1
0.301934,0.13226,1
-0.993686,-1.736095,-1
-0.95672,0.740297,-1
-0.219231,0.059383,1
0.973781,0.99219,-1
1.560547,-0.984915,-1
-0.074199,0.928465,1
-1.430499,0.761473,-1
-0.432854,-0.80051,1
-0.285236,-0.314484,1
-1.212013,0.513286,-1
-1.577607,0.458808,-1
0.021353,2.057768,1
-1.576934,0.021091,-1
1.367613,0.456919,-1
-0.620911,-0.284316,1
-0.138599,0.29133,1
0.164615,0.218661,1
0.107558,1.223354,1
-1.888089,-0.162789,1
0.952585,1.225543,-1
0.668092,-1.608679,-1
0.130698,-1.239597,-1
1.110184,0.058074,-1
1.100281,0.022717,-1
-0.829405,1.12216,-1
0.373287,-0.722662,1
1.106581,-0.788367,-1
0.451899,0.792736,-1
2.550001,1.183948,1
0.078317,-0.126711,1
1.732473,0.176922,1
1.334307,-0.433367,-1
-0.476648,-0.185306,1
-1.30467,0.236789,-1
-1.541577,0.028165,1
-2.001236,-0.233512,1
-0.176194,-0.284918,1
-0.065686,1.280619,1
0.197844,-1.65468,-1
-2.008307,-0.226441,1
-0.148466,0.708539,1
-0.071463,-0.241138,1
-0.662605,0.057227,1
0.815199,-1.320156,-1
-0.788403,0.965179,-1
-1.248801,0.306799,-1
-0.652967,-0.566254,1
-0.169861,-1.583996,-1
1.709036,-1.105117,-1
0.458215,0.188136,1
0.11521,-0.371236,1
1.190784,-0.111632,-1
-1.030253,0.850604,-1
0.203573,-0.745304,1
0.50927,1.965879,-1
-0.460469,-1.265101,1
1.106622,-0.26933,-1
1.268567,-0.138497,-1
-0.453994,0.138564,1
-2.071964,-0.417373,1
-0.982913,0.36622,-1
-1.524587,0.271421,-1
0.65681,-1.209856,-1
-1.195023,0.756542,-1
1.060022,0.623072,-1
-1.079095,0.217714,-1
-1.661801,-0.1062,-1
-0.145789,-1.213455,-1
-1.18798,0.395903,-1
0.81904,0.750903,-1
0.400283,0.862738,1
-0.972319,0.202872,-1
0.377502,-1.079058,-1
0.497908,1.369055,1
-1.402257,0.20991,-1
1.523882,0.357225,-1
1.269258,-0.342859,-1
-0.205236,-1.803211,-1
-2.133601,-1.88327,-1
-0.943333,0.12014,1
1.339341,0.626629,-1
2.20985,0.944202,1
1.598054,-0.622152,-1
0.192252,-0.830161,1
1.417,-0.958763,1
0.714268,1.067833,-1
1.462356,0.291457,-1
-1.777085,-0.3728,1
-2.149721,-0.070882,1
0.439119,0.139342,1
-2.545714,-0.028485,1
1.057913,0.780763,-1
-0.798268,1.407845,-1
0.910823,0.701552,-1
-1.1349,0.95808,-1
-1.459571,-0.251854,1
-0.670466,-0.984385,1
0.290615,0.072859,1
0.103099,-1.509018,-1
-1.168989,-0.881889,1
0.496476,1.144186,1
0.276577,1.392373,-1
0.016348,1.361239,1
-0.320969,1.192207,1
1.233185,-0.449639,-1
1.180172,-0.178811,-1
-1.120144,-0.216471,1
-0.79838,-0.002183,1
0.818939,1.260182,1
0.143617,1.157594,1
0.982833,-0.784842,-1
-1.45529,0.241727,-1
2.142597,-0.006901,1
0.417249,0.792026,1
1.459436,-0.85976,1
-1.286216,1.103738,-1
-0.185359,-0.828776,1
0.299005,-1.129271,-1
-1.019148,-1.795497,-1
1.309591,-0.005552,-1
-0.575706,-0.937706,1
-1.273534,0.522474,-1
0.390406,1.151249,1
-0.961165,-1.825192,-1
-1.178818,0.007687,-1
1.118669,0.051004,-1
-0.589741,0.427065,-1
-0.393144,0.593964,1
0.999086,0.867877,-1
-1.067048,0.545118,-1
0.272124,-1.255143,-1
-1.520332,0.417091,-1
0.447676,1.051547,1
-1.431246,0.251628,-1
0.014272,1.937554,1
0.292746,0.278643,1
0.315355,-0.053716,1
1.174598,0.876235,-1
-0.610866,0.653417,-1
-1.661804,-0.148629,1
-1.958835,-0.572934,1
-0.83793,0.618679,-1
-2.899274,0.070486,1
0.420661,-0.775693,1
-1.397997,0.426294,-1
0.707127,0.18957,1
-1.390196,0.716927,-1
1.669463,-0.762866,1
-1.288466,-0.521967,1
0.841507,0.49082,-1
-1.444678,0.294763,-1
-0.064392,-0.24538,1
-0.675408,-0.880436,1
1.02966,1.190899,-1
-1.814497,0.462324,-1
-0.945571,-1.359895,-1
0.094053,0.351455,1
-1.248061,0.717645,-1
-1.296203,0.003434,-1
-0.148646,-1.56278,-1
0.310278,-1.655379,-1
-0.775191,0.822834,-1
0.434283,1.588262,1
0.252458,0.436324,1
-0.518263,1.15047,-1
-1.068468,0.472991,-1
0.381195,0.910115,1
2.319429,0.608321,1
-1.263631,0.56066,-1
0.028895,-0.932708,1
-0.946893,-1.075698,1
-1.136313,0.984951,-1
1.273522,-0.069904,-1
-0.843038,-1.377566,-1
-1.712747,-0.522,1
0.230468,-0.435576,1
-0.395853,2.107234,1
0.304186,1.789079,1
-1.206358,0.490658,-1
-2.729576,-0.113356,1
0.447702,1.37683,1
1.263655,0.348719,-1
-1.006241,0.46451,-1
-0.53257,-0.924267,1
1.594598,0.385516,-1
-0.432198,-1.448954,-1
1.344171,-0.890176,-1
1.01973,0.804802,-1
-2.078995,0.098836,1
-0.562991,0.68008,1
0.419922,-1.178053,-1
-0.609006,-1.753036,-1
-0.725591,-0.581322,1
-0.82164,0.946084,-1
-0.970861,0.754438,-1
-1.196523,-0.331033,1
1.276914,-1.890778,-1
1.02743,-0.181651,-1
-0.928496,0.85337,-1
-1.251711,-0.728447,1
-0.419984,0.989958,-1
-0.523318,-0.182481,1
1.994102,0.042587,1
0.516919,0.32886,1
-0.833743,-0.087042,1
0.75336,-0.872898,-1
0.892372,0.776578,-1
0.195042,-1.318084,-1
-1.018982,0.299039,-1
1.732462,0.035495,1
1.568337,-0.835709,-1
1.259422,0.466103,-1
0.906568,0.550225,1
0.063761,1.803202,1
-1.290548,-0.024851,-1
-1.030967,0.765041,-1
-0.268812,-0.974453,1
1.479956,-0.697825,-1
-1.626425,0.127157,-1
0.719754,-1.090345,-1
0.661248,1.262291,-1
-1.229665,0.849174,-1
0.531771,0.355025,-1
1.021804,0.207273,-1
1.178064,-0.009805,-1
1.435487,0.318326,-1
-1.026881,-1.22201,-1
1.111638,0.557312,-1
-0.51067,-1.200755,-1
-0.740531,-1.720518,-1
0.978042,1.228373,-1
1.460198,-0.16606,-1
0.81048,1.593949,-1
-0.72756,1.337137,-1
0.345669,-1.224023,-1
1.499094,-0.127165,-1
0.30052,0.135088,1
-0.944264,0.865885,-1
1.192952,0.475998,-1
0.509795,-0.337262,1
-1.356997,0.25517,-1
-0.718398,0.950335,-1
1.009833,0.842987,-1
-0.364896,0.124428,1
-0.530213,2.057724,1
-1.131376,0.820189,-1
-0.364909,-0.048113,1
1.236922,1.195795,-1
-1.562796,-0.035479,1
0.000094,1.484986,1
-1.397373,-0.625217,1
1.261535,0.364983,-1
-1.155519,-0.4569,1
1.113729,0.173338,-1
-0.09916,-1.73956,-1
-0.072969,-1.398012,-1
0.746799,1.10602,-1
-1.100381,-0.681764,1
1.323605,-1.631963,-1
0.330794,-1.535871,-1
-0.621665,-0.877603,1
0.734692,0.021981,1
-0.69082,0.94963,-1
-0.971039,-1.49001,-1
-0.374902,-1.223373,-1
-0.814647,-0.042491,1
0.410707,-1.455959,-1
0.658219,-1.279155,-1
