0.302f19+0.272f01+0.269f03+0.265f20+0.254f16...,'0.485f05+0.428f08+0.33 f10-0.308f06-0.275f18...',-0.491f02-0.445f12+0.359f07+0.282f01+0.232f18...,-0.449f13-0.405f20+0.336f15+0.317f17+0.289f07...,'-0.443f16+0.44 f17+0.325f11-0.314f07-0.312f13...',f21
-0.26712,-0.469644,-0.13943,-0.347615,1.068928,1.0
-0.428275,-0.043846,-0.604451,-0.732073,-1.356387,0.0
0.528717,-0.040587,0.21178,0.485962,-0.254623,1.0
-0.083536,0.51862,-0.334872,-0.894553,-0.491619,1.0
-0.058298,1.991257,0.666072,1.393624,0.264964,0.0
-0.335042,-0.618753,-0.386659,-0.56649,-0.078072,1.0
-0.563163,0.346797,0.352129,-0.78286,-0.108444,0.0
-1.694313,-1.638038,-2.912372,0.912771,1.473895,0.0
1.931179,0.786763,0.122064,-0.080317,0.887862,1.0
0.012683,1.061728,2.700897,-1.205038,0.146183,0.0
0.875879,-0.1034,0.267264,0.872074,-0.870974,1.0
0.650789,0.585169,0.294164,-0.148956,0.319373,1.0
1.830908,-0.723947,-1.494177,-0.973078,-0.884824,1.0
0.761017,-0.509049,-0.538538,0.029505,0.968744,1.0
1.278512,-0.306,-0.684441,-0.469669,-0.856765,1.0
0.454611,-0.505293,-0.576279,-0.37877,-0.829189,1.0
0.58824,-1.117002,-0.738313,-0.561848,0.470636,0.0
-0.200072,0.209138,1.085082,1.228436,-0.751162,0.0
-0.69797,-0.022945,1.080322,0.754396,-0.691181,1.0
1.68845,0.679639,-0.428657,-0.498499,0.235276,1.0
2.651461,-0.367463,-0.078172,-0.944742,1.094081,1.0
0.8668,0.637658,-2.097957,0.414371,-0.821538,1.0
1.97952,0.479456,-1.178678,-0.255902,1.046521,1.0
-2.492246,1.891287,-1.31795,-1.631772,-1.539031,0.0
-3.779378,0.939702,0.692608,0.750713,-0.774757,0.0
0.785577,0.326419,0.361656,0.167868,-0.943214,1.0
-3.215835,0.733512,0.079248,-0.9683,-0.5225,0.0
1.014815,-1.100347,0.197712,-0.354082,-1.356887,1.0
-1.252216,1.009186,-0.435042,0.377662,-0.580222,0.0
0.35562,-1.382036,0.396949,0.366391,0.217746,1.0
-0.231005,1.070286,0.922085,0.372245,1.13943,0.0
-0.999161,-2.773105,0.378173,0.820785,0.362617,0.0
0.596983,-0.241557,1.147126,0.428962,0.432498,1.0
-2.155899,-0.763201,1.007825,-0.01206,1.721968,0.0
-0.177675,-1.081073,-0.514331,0.590927,-1.616882,0.0
0.364163,0.180381,0.90595,0.517372,-0.070526,1.0
-0.792669,-2.287483,2.023699,-2.056514,0.506305,0.0
-2.940956,0.156179,0.11785,-1.138497,-1.267381,0.0
0.67344,1.344974,-0.021103,0.709071,-0.313444,1.0
0.349929,-0.013098,-0.578149,-0.391104,0.317695,1.0
-0.009791,0.611073,-0.784439,1.330946,0.863135,1.0
1.38689,1.115714,-0.492771,0.584457,0.085616,1.0
1.046722,0.050724,-0.448509,-0.309818,-0.870013,1.0
0.626697,-0.13945,-0.407377,-0.179758,0.154,1.0
0.239488,0.358848,1.007241,0.14594,0.312565,1.0
0.598139,-0.554729,0.387252,-0.017676,-0.218569,1.0
-0.284454,1.16689,-0.979701,-0.688653,-0.540038,0.0
1.342387,0.241162,-0.149155,0.724131,-0.320773,1.0
0.949952,0.360033,-0.187617,-0.485047,0.149706,1.0
0.164474,-0.208963,-0.857145,0.23857,0.555814,1.0
-0.04087,-2.930388,0.605765,-0.92403,-1.059196,0.0
-1.232185,0.004905,0.712712,0.035413,0.900013,0.0
-0.153495,-1.606337,0.123526,-0.45126,2.132911,0.0
0.213697,-0.595526,-0.509469,0.519409,-0.535933,1.0
0.891668,0.974715,-1.568962,-0.100717,-1.208467,1.0
0.381298,1.097513,0.195781,1.037099,-0.202414,1.0
0.267348,0.062458,-2.755181,-1.102529,0.883257,0.0
1.027454,0.222377,0.193024,-0.364375,-0.069355,1.0
0.216023,-0.444203,0.27099,0.707583,-1.354225,0.0
-1.914196,2.857424,0.568512,0.613245,1.566835,0.0
0.327036,0.190591,-0.322041,0.768796,1.39405,1.0
0.548273,0.384093,0.093648,0.685566,-0.472828,1.0
-2.402865,0.580244,-0.26416,-0.778905,1.34065,0.0
0.101402,1.966638,1.883986,-1.916765,-0.058924,0.0
-2.130413,-0.063303,0.757911,-0.078099,2.367145,0.0
0.579163,1.375788,0.787384,0.133244,-0.954031,1.0
-0.865053,-0.464165,-2.07079,-0.591874,-1.574534,0.0
-0.879001,1.800495,2.697348,0.02981,-1.316333,0.0
-0.190429,0.098007,0.484451,0.599728,-0.185799,1.0
0.677442,-0.846036,0.914745,0.077818,0.505897,1.0
-0.805163,-0.010668,0.70847,-2.310641,-2.003072,0.0
0.532044,0.408092,-1.021719,-0.614812,0.060056,1.0
0.801307,-0.258621,-0.501438,0.187136,0.237007,1.0
-1.739807,0.660153,0.069535,0.555663,-1.388778,0.0
0.456349,-0.072723,1.416291,0.904975,0.572072,0.0
-0.320128,0.14795,-0.465216,0.968473,1.037157,0.0
-2.743701,0.101566,-1.323213,0.299245,-0.058213,0.0
0.917559,-0.939375,-0.091051,0.008152,-0.333098,1.0
-1.277979,-0.354705,-0.432158,-0.942435,0.622356,0.0
0.261103,1.668257,1.271959,0.723361,0.082842,1.0
0.323126,-0.196449,0.321935,0.12459,-0.31207,1.0
-0.107863,0.571624,0.163933,0.403288,0.444411,1.0
0.710842,0.262823,-0.595349,0.076899,-0.254213,1.0
-0.014791,-0.507537,0.310869,-0.567929,-0.721724,1.0
0.273935,0.981156,0.320102,0.19282,-3.036812,0.0
1.437189,0.278384,-0.241497,-1.24878,-0.637362,1.0
-2.102507,-1.067201,0.800844,0.507737,-0.19598,0.0
-0.661107,-0.431749,0.848628,0.677667,-2.406677,0.0
0.95512,-1.189208,-2.150674,-0.934302,-1.614988,0.0
0.447081,-0.057589,-0.729829,0.723351,-0.540038,1.0
1.187899,0.451137,-2.044456,-0.40248,0.122873,1.0
0.740963,0.076421,-0.957326,-0.434237,-0.379154,1.0
0.547143,0.092997,-0.393522,0.327733,-0.39919,1.0
-0.276008,-0.269746,0.84045,-2.31535,-0.271078,0.0
0.229469,0.264389,-1.075748,-0.30058,-0.18153,1.0
0.63378,0.312649,0.101896,-0.311124,0.663118,1.0
-0.865837,-0.100798,0.094257,0.1066,0.001189,1.0
0.848011,-0.743613,0.678072,0.014457,-0.241168,1.0
0.856203,-0.172435,-0.266421,0.887613,0.321695,1.0
1.720546,0.003879,-0.210978,0.588328,-0.923423,1.0
-1.138352,0.104174,-0.32158,0.352366,0.793231,0.0
0.298933,-0.192789,-1.372675,0.144024,-0.097093,1.0
1.988555,0.471289,-0.172047,-0.530391,1.208379,1.0
0.133027,-0.137549,0.396267,0.449106,0.769642,1.0
1.384876,0.422621,0.533559,-0.62688,0.319399,1.0
0.218047,0.014779,1.19895,-0.720774,0.192644,1.0
-1.679763,0.826402,-0.398337,0.617388,-0.325155,0.0
0.286183,-0.627762,-0.504697,0.496337,1.466772,1.0
0.226823,0.076278,-0.076034,-1.090527,-0.085953,1.0
-2.826432,-1.053892,0.659894,1.005,0.009744,0.0
0.19421,0.071502,0.09048,0.005222,2.0675,0.0
1.393099,-0.675587,0.064087,-0.005561,0.092025,1.0
0.755326,-0.88233,0.711517,-0.877377,-0.5926,1.0
0.623274,-1.521737,2.436055,-0.204263,-0.663538,0.0
-0.61321,-1.056441,-0.291895,0.976367,1.275704,0.0
1.671841,-0.754649,2.156087,-1.412201,1.332098,0.0
0.833948,0.247854,-0.562186,-0.463147,0.439228,1.0
-0.638454,-4.396718,0.404875,0.3187,-1.827234,0.0
-0.059461,0.180004,-0.85471,-1.672023,0.581443,1.0
-0.951715,0.12943,0.557253,-0.192047,-0.242339,0.0
-0.578899,-0.046963,-1.754413,-0.485183,-1.703103,0.0
-0.045225,0.449475,0.18104,-0.774659,1.220633,0.0
-0.203576,-1.408742,1.789608,-2.137746,0.410601,1.0
-2.525631,-1.618605,-1.539639,0.048093,-2.278289,0.0
-0.835011,2.541509,-1.092833,-0.307531,-1.362697,0.0
0.047793,-0.423643,-1.305762,-0.407858,-0.525897,0.0
0.156246,1.849809,0.086584,0.404564,-0.127603,1.0
1.239041,-0.496179,0.700674,0.427001,-0.179087,1.0
1.112626,1.49524,-1.007847,0.585382,-0.254139,1.0
0.857891,-0.75016,-0.228983,-0.482981,-0.311769,1.0
0.096173,0.714318,0.581981,1.745167,0.24237,0.0
0.727678,0.121585,0.093598,-0.495436,1.245395,1.0
1.442817,-0.846019,-0.187298,-2.024666,-0.337684,0.0
0.944513,0.106635,-0.416646,0.737174,-0.25265,1.0
0.242557,0.360691,0.02036,1.441585,-1.48154,0.0
0.472221,1.056137,1.233434,-1.019311,0.111275,1.0
-3.437686,0.121953,-0.093318,1.167746,-0.05737,0.0
-0.917378,2.064135,0.894011,-0.493838,0.269839,0.0
1.245616,-0.303724,0.250994,0.232609,1.295474,1.0
-0.976888,-2.329084,-1.038909,0.838758,-0.170459,0.0
0.663533,-2.346653,-0.023748,1.289718,-1.550513,0.0
0.567171,-0.613856,-0.284092,-1.316606,-0.439259,1.0
1.133126,0.041146,-1.350845,-0.800931,-0.509863,1.0
-1.557749,-0.894108,1.131741,0.418176,-0.016273,0.0
-0.830058,-0.907017,1.212356,0.142948,-0.548036,0.0
0.343796,-1.835377,1.792212,-0.867671,-2.519801,0.0
0.609959,0.420577,1.312491,0.962801,0.30621,0.0
-0.103776,-0.063304,-0.065181,0.996541,-0.745681,1.0
-0.300822,-1.579706,-0.28887,-1.484992,0.910713,0.0
-1.825584,-1.254748,0.983851,0.64479,-1.802816,0.0
-0.746441,1.608744,1.064667,2.321927,2.325945,0.0
1.050372,0.242641,0.077273,-0.32616,0.412261,1.0
0.334218,-0.590401,-3.461501,-0.164427,0.405747,0.0
0.430595,0.670065,-0.286554,-0.13176,0.419637,1.0
-0.51525,1.24005,-0.401728,0.538742,-1.096216,1.0
-0.338519,0.135205,-0.288051,1.3668,0.144205,1.0
1.392891,-0.574679,-0.473771,-0.272413,0.774196,1.0
-0.856163,1.596119,-2.251482,-1.81124,1.776313,0.0
0.422269,-0.394457,-0.779035,0.362371,-0.536389,1.0
-1.909658,-1.775058,-1.375245,-0.539521,2.821701,0.0
1.183689,-0.260566,-0.81015,0.099184,0.139626,1.0
-0.644194,-1.824153,-0.010946,0.318846,-1.291686,0.0
-0.822052,-0.757133,-1.707575,-2.300649,-1.635946,0.0
-0.589225,0.160793,-0.729995,-0.133768,-0.147968,1.0
-1.089565,-3.204162,3.153252,-1.032249,-0.272152,0.0
-1.342067,0.340398,-0.461729,-1.568925,-0.447325,0.0
-0.889561,0.43309,0.755465,-0.712317,-0.166614,1.0
-0.228594,0.459441,-0.328134,0.853261,-0.54401,1.0
1.099585,-0.258868,-0.320483,-0.234024,-1.350354,1.0
-0.166926,-0.106537,0.290599,0.751927,0.235226,1.0
0.624974,0.95371,-0.011323,-0.556623,0.92521,1.0
1.777527,2.270429,-1.558324,-1.943557,-0.903697,0.0
-0.990956,-1.300669,0.40808,0.394891,0.041435,0.0
1.398574,-0.145793,0.414738,0.007362,0.005777,0.0
1.097655,-0.023255,-0.617454,-0.934062,-0.12891,1.0
0.004631,-1.495639,0.002933,0.001506,-0.501413,1.0
-0.095231,-0.091548,-0.175744,-1.077181,-0.399106,1.0
0.843483,0.328049,-0.258735,-0.500367,0.357754,1.0
0.168647,1.067358,-0.269068,-0.542204,0.395064,1.0
0.226343,-1.027946,-0.023014,0.047885,-1.604187,0.0
1.785218,-1.800587,-1.154127,-0.698792,2.554194,0.0
-1.834709,0.567155,1.370068,0.95375,2.181676,0.0
0.647913,-0.277573,0.211696,0.549679,-1.636069,1.0
-1.303888,-1.522217,1.285809,-0.343236,-0.087193,0.0
0.946929,0.695867,-1.013962,0.581345,0.591255,1.0
0.744043,-0.450052,1.343728,-0.197936,0.565062,1.0
0.687843,0.351064,-0.301242,1.569707,1.034907,1.0
0.112651,-0.443892,0.360666,0.271302,0.129211,1.0
-0.957871,0.022684,-0.987596,-0.625219,0.092684,1.0
1.420974,-0.518104,-0.96315,-0.098666,0.929114,1.0
-0.805549,1.436038,-0.084252,0.320877,-0.310348,0.0
0.98493,0.146641,1.590765,-1.05932,1.477606,1.0
-1.614213,-2.891447,-0.883417,-0.775114,1.038802,0.0
-0.949203,-1.192218,1.902327,-0.716854,1.668132,0.0
0.639839,0.217405,0.809666,-0.223875,0.344797,1.0
0.813422,0.875081,-0.23392,1.003724,-1.058099,1.0
-2.678945,0.32833,-0.922505,-1.963511,-0.800302,0.0
-0.636679,0.885058,1.555128,-0.411081,-2.48941,0.0
0.438868,-2.076479,-0.490107,3.992036,-1.216149,0.0
1.307414,0.802979,-1.063144,1.457573,2.2054,0.0
0.643338,0.820274,-0.452582,0.317303,-0.556152,1.0
1.071526,-0.238396,-0.905834,0.198565,0.165972,1.0
-1.222347,1.482572,1.180811,-3.354969,0.544027,0.0
1.758964,-0.099659,0.202255,0.178977,0.08525,1.0
0.262285,0.720971,0.520329,-0.125225,0.4564,1.0
-0.971595,-0.872384,-0.055675,0.324282,1.061112,0.0
0.392114,-1.310046,-0.254067,0.679453,-1.513598,0.0
0.978344,0.389259,0.296023,0.359203,-0.300417,1.0
0.489083,0.084479,0.081302,-0.81426,0.67789,1.0
0.720938,-0.686642,2.579591,1.910626,-2.043676,0.0
-0.946262,-2.851381,-1.018896,0.401443,3.116495,0.0
0.45562,-0.213252,-0.082678,-0.704301,0.952633,1.0
-0.54082,0.191161,1.286888,1.392128,0.276799,0.0
0.830125,-0.294542,0.986246,0.287021,0.510707,1.0
0.276113,0.118385,0.728576,-1.101338,-1.297774,1.0
0.814102,-0.696458,0.285308,-0.801929,0.646858,1.0
0.800003,-0.671243,-0.209958,-0.578181,-0.108713,1.0
0.384513,-0.420082,0.777027,0.95182,-0.053154,1.0
-3.087344,0.164065,-2.812672,1.884166,0.702754,0.0
1.19634,0.700053,-0.484015,-1.017897,0.759882,1.0
-2.059036,1.162404,-2.170277,-0.873529,1.073328,0.0
-0.048497,-0.533459,-0.192123,-2.411015,-1.313824,1.0
0.437767,0.445658,0.429029,0.643155,-0.164073,1.0
1.607093,-0.286086,0.552781,0.358346,-0.459373,1.0
1.112751,0.065691,1.138744,1.280439,-0.026669,1.0
-2.718752,-3.505673,2.405616,-1.246693,0.838071,0.0
0.536791,-0.11053,-0.498436,0.021409,0.946186,1.0
-0.85174,0.219478,-1.321952,-0.158458,-0.520375,0.0
-0.559254,-1.037832,2.179141,-1.411931,-0.557647,0.0
1.422426,-0.79319,2.060478,1.293017,0.663024,0.0
-0.204853,1.657374,0.483791,-0.34735,0.03476,0.0
1.222584,0.132808,0.196408,-0.136771,-0.190085,1.0
1.456641,-1.009808,-0.283034,-0.770651,-0.202126,1.0
-2.428913,1.405442,-1.163422,2.790654,-2.674333,0.0
-0.538268,-0.365492,2.124525,1.659885,0.112597,0.0
0.77752,2.039736,1.264033,0.632574,0.580398,0.0
0.975173,-0.08107,-0.222102,0.775902,1.063087,1.0
-2.058856,-0.476063,0.439393,-1.57387,0.629086,0.0
1.677256,0.521159,0.304574,-1.203898,0.733556,1.0
-0.4974,0.1543,-0.471285,-0.201115,-0.210215,1.0
1.803515,0.104289,-0.535586,0.448357,0.257941,1.0
1.697539,0.798001,1.237091,-0.168099,0.440388,0.0
0.482444,2.130008,3.323278,-1.217512,-0.988028,0.0
0.241994,0.67754,-0.135457,-0.072715,0.288524,1.0
0.245255,-1.09511,0.072749,-0.150608,-0.726317,1.0
0.070612,0.28833,0.888358,-1.177995,0.821036,0.0
0.504813,0.144373,-0.259142,-0.529638,0.189377,1.0
0.414883,0.544051,0.825686,0.690599,-0.778668,1.0
0.711421,-0.617718,0.515787,0.430729,0.944531,1.0
0.168147,1.537444,-0.456318,0.313737,-1.177241,1.0
-2.305481,-1.697115,-0.236885,0.596041,0.311671,0.0
0.534232,-0.100894,-0.615017,0.294649,-0.277212,1.0
1.162063,-0.453342,-1.022069,-1.411184,0.169837,1.0
0.368494,0.67534,-0.175393,-0.011529,-0.735564,1.0
1.935421,1.577078,0.96679,-0.140809,-1.002366,1.0
-0.026875,0.041409,0.5224,1.632835,0.764692,0.0
0.325334,-0.216131,-0.059726,-0.429715,0.139844,1.0
-0.093547,0.988243,-0.037428,-0.971145,-0.161608,1.0
1.226213,-1.078726,-0.149441,-0.008638,0.415741,1.0
0.868955,-0.099858,0.315577,-1.680316,-2.743214,0.0
0.213677,0.32117,1.337165,-0.679718,0.973677,0.0
0.993778,-0.91299,0.194189,-0.16406,1.124286,1.0
1.114799,1.263786,-0.269431,0.693366,0.511718,0.0
-0.509583,0.696177,1.134728,0.824751,-0.662328,1.0
0.521765,0.782784,0.232396,-0.095348,0.641982,1.0
0.926663,-0.964291,-0.892888,-0.402038,0.92601,1.0
1.138269,0.062274,1.564715,0.913178,0.27606,1.0
-1.452645,-0.389415,-0.189471,-1.471351,-1.076274,0.0
0.560386,0.153225,0.838348,-0.61933,0.811468,1.0
1.736708,-1.179886,0.223253,-0.924747,0.242811,1.0
-0.216782,0.360938,-0.036563,2.971472,0.908452,0.0
0.120055,0.887856,0.593208,0.715047,-0.089397,1.0
0.244286,0.024414,0.296499,-0.864205,0.739966,1.0
-0.603957,-0.222466,0.820321,-1.82653,-0.23027,0.0
-2.474869,-0.31946,-2.165336,1.192339,1.168167,0.0
0.244622,0.417311,0.907551,-0.551165,0.090604,1.0
0.306054,-1.472097,-0.342998,0.750963,1.344898,0.0
0.892566,1.043687,-1.822539,1.118944,1.385001,0.0
1.341293,0.959635,0.089995,-0.561765,0.122478,1.0
-0.919536,0.707186,-2.160639,0.476349,0.108659,0.0
-1.73126,-0.076203,-2.236845,-0.671167,-1.064062,0.0
0.61213,-0.193176,0.178745,-0.152141,0.326926,1.0
0.201763,-0.045636,1.015783,0.612507,3.756274,0.0
-0.599614,-0.458737,1.673373,0.657584,-0.007965,0.0
0.239434,-0.214541,-1.375063,1.171981,-0.633733,0.0
-1.160408,0.055955,0.869178,-0.432548,-1.388046,0.0
1.073894,-0.8569,-0.470066,0.169565,-0.462051,1.0
-0.608243,0.024866,-1.487769,-0.756769,-0.010433,0.0
1.292126,2.694823,-2.004178,-2.891216,-1.498914,0.0
1.130447,0.622069,1.102096,0.334375,0.523223,1.0
0.37196,-2.009066,2.786921,2.279394,0.257001,0.0
-2.392814,-1.054887,-0.030064,-1.777903,-2.249865,0.0
1.409643,-1.16559,0.224968,0.246345,0.7663,1.0
-0.313004,0.357913,-1.159531,0.352828,-2.116754,0.0
-0.103982,-0.686992,0.760853,0.735445,-0.204728,1.0
-0.96773,0.05879,-0.473012,-0.951807,3.101837,0.0
-1.877587,-0.740214,-0.80144,3.536606,-0.587687,0.0
-1.730449,-0.723732,-1.729079,-1.491193,-0.274559,0.0
-0.731149,0.411967,0.287467,0.570738,1.004338,0.0
0.19428,1.543104,2.140024,1.255932,0.754865,0.0
-0.633127,0.22771,-0.678986,0.678096,0.327618,1.0
0.186959,-0.066201,0.184112,0.172119,0.488548,1.0
0.713796,-0.806632,0.711112,1.919315,-0.772806,0.0
0.076325,-0.272299,-1.323717,0.056835,0.204871,1.0
1.397634,1.102126,-0.226086,0.258441,-0.308077,1.0
0.752142,-2.315311,-0.032642,1.070576,1.78924,0.0
-3.151793,0.57224,2.339783,-0.804155,2.425236,0.0
-0.215201,-0.705764,-0.183728,-0.288987,0.157654,0.0
0.572143,-0.060345,0.264894,0.193975,-0.591928,1.0
-0.867016,-0.575854,-0.060439,-2.504984,0.284704,0.0
-0.393276,0.727599,-0.228241,0.039704,2.00109,0.0
0.039529,-1.327993,-1.247832,-0.021551,-0.122413,1.0
1.351921,0.304049,-0.745946,-0.543376,-0.049846,1.0
0.987944,-0.834939,-2.708993,0.557691,-0.380124,0.0
0.207092,0.38512,-0.185175,0.093834,0.592403,1.0
-1.152016,0.609866,-1.519705,0.939133,1.950949,0.0
-0.678877,-0.309205,-1.365003,0.835369,0.010571,1.0
0.340535,-0.401361,0.11353,-0.962581,-0.268137,1.0
1.63594,0.806886,1.15214,0.940641,0.135464,1.0
0.577051,0.110546,0.286738,0.290192,0.549423,1.0
0.818807,-0.344864,0.482269,-0.884287,-0.387532,1.0
1.195419,-1.060797,0.07989,-0.43736,0.242098,1.0
1.229775,-0.902169,-0.563153,-0.683705,0.774175,1.0
1.118782,-0.556707,-1.525569,-0.398767,-0.086156,1.0
0.477628,0.507877,-0.27748,-0.801024,-0.327651,1.0
-1.742591,1.517298,-0.04078,-1.159962,0.134719,0.0
