'0.232f04+0.231f11+0.23 f01+0.229f17+0.228f13...','0.43 f02-0.392f10+0.352f19-0.349f20-0.334f17...',0.507f15-0.408f01+0.345f07-0.296f19+0.268f04...,-0.478f07+0.323f20+0.315f12+0.303f16-0.295f18...,0.499f09-0.482f06+0.435f08-0.331f01+0.165f02...,class
1.858645,0.457818,-0.92419,-1.072829,-0.282122,0
1.525794,1.037918,0.095556,-0.047423,0.53003,0
0.683494,-0.731126,-0.456157,0.321237,-0.024724,0
-1.327291,-1.333328,1.311439,1.403768,1.626163,1
-0.799218,-1.115933,-2.306165,1.448843,0.605859,0
1.979512,-0.41809,-1.028961,0.91019,-0.348138,0
2.816098,-0.369514,-1.120435,0.920976,1.66836,0
-2.593991,-1.130928,1.032228,-1.660481,-0.129324,1
0.000515,0.83574,-0.85367,-0.580148,0.939059,0
1.834659,-0.764289,1.28486,-1.478383,-0.814049,0
-1.087569,1.860925,0.054068,2.427289,-0.380826,1
-2.306794,-0.378998,-1.340562,1.087325,0.172508,1
-0.857052,1.63741,-0.098626,-0.283096,0.218899,1
-0.499198,-0.210994,2.60724,0.545614,-1.334592,1
-2.427352,-1.07373,0.636293,0.703141,1.338097,1
0.019239,-0.528935,-0.107877,0.131368,0.461833,1
1.172536,0.087585,-0.273342,-0.571099,0.417574,0
-2.083219,-1.123372,0.542364,-1.977521,0.499798,1
2.485334,1.99618,0.952866,2.377734,-0.355798,0
1.718584,-1.948017,-0.50324,-1.20672,1.188958,0
1.353051,-0.300399,-1.173822,-1.756558,1.800967,0
1.490903,1.184741,-0.116305,1.120665,-1.442933,0
-1.307264,-0.846561,0.650446,1.790889,0.893198,1
-2.660826,0.017517,0.858005,0.896294,0.313846,1
1.214179,2.176019,1.771679,0.260562,-0.590845,0
2.56594,-0.08725,-1.949059,0.107675,0.276759,0
-2.62127,-0.599595,0.557547,1.925943,0.65499,1
1.739071,-0.034998,0.552953,-0.275044,-3.400337,0
2.640349,0.173453,0.271599,0.07234,-0.531112,0
1.557144,0.301551,0.475411,0.956674,0.720964,0
1.732591,1.375471,-1.084513,2.145569,-1.16431,0
2.089689,0.298047,0.161626,1.121007,-1.011811,0
-1.340427,-0.11151,-0.731457,-0.291626,0.569078,1
-2.170555,-1.351659,-1.643717,-1.479931,2.50741,1
2.997633,0.438551,-1.250951,-0.502954,-1.082017,0
-2.612352,-0.551292,-0.2813,1.304731,1.693241,1
0.778832,0.248296,-0.462367,0.592534,-1.056916,0
1.261083,0.370676,-1.230809,-0.242454,1.078462,0
-3.066611,0.984172,0.596855,-0.602803,0.32857,1
2.922655,-2.604504,1.002571,-0.164733,2.56727,0
0.905362,1.091629,2.495415,1.223534,0.210904,0
-1.123606,1.480339,0.355147,-0.322961,-0.768832,1
-3.510396,-1.526034,1.090134,-1.18984,-0.970835,1
2.042233,1.968289,1.377908,-0.080904,0.075024,0
-1.268814,1.159784,-0.54417,0.49293,-0.480419,1
3.705708,-0.598806,-0.712486,-0.929103,-0.268614,0
0.625652,-1.715334,0.355834,0.566768,-1.570251,0
-2.679798,1.000487,-0.980262,-2.070393,0.109871,1
2.554844,-0.463791,0.527296,-0.465179,-0.55384,0
2.164927,1.041659,-0.733622,-0.200106,1.502838,0
-3.163645,0.477969,0.852463,0.006225,-0.237464,1
1.084559,-0.393762,-0.053774,-1.243088,1.118744,0
-3.08613,-0.434082,0.318758,0.035334,-1.325915,1
2.511949,1.065136,0.260158,1.353754,0.135861,0
0.94383,-0.656153,-1.617339,-1.109535,0.497484,0
-1.446845,-0.831579,-1.246929,-0.114132,-0.976998,1
-0.711731,-1.19335,-0.315893,-0.674037,-0.322009,1
-1.556492,1.300084,1.666205,-0.996022,-1.061777,1
-2.386941,0.442568,0.266027,-0.762038,0.586375,1
-1.700153,-0.759691,-2.12835,-0.184168,0.342114,1
1.796664,1.337846,-0.383697,0.52843,0.470126,0
1.187621,0.067942,-1.155738,-0.433184,-1.01434,0
2.567006,1.850702,-0.571045,1.154821,0.069808,0
-0.321717,1.322048,-1.331942,1.374012,-0.067356,1
-2.658666,0.168334,0.558045,-1.872097,0.703967,1
1.168926,-0.065533,-0.766884,0.575983,0.568435,0
-3.432426,-0.790049,-0.581069,0.04802,-0.886363,1
0.961264,1.232418,2.083954,-1.256275,-0.308905,0
-1.513769,0.142169,-0.28756,-0.934737,-0.476431,1
0.71268,0.250395,-0.855056,0.293968,1.263096,0
3.840035,0.986633,0.366946,0.017715,0.705319,0
1.498508,0.403993,1.02782,-0.768636,0.567696,0
-2.990889,0.801393,-0.355821,-0.192718,-0.328661,1
-1.623775,-0.825126,0.302598,1.715648,1.277357,1
-0.550916,-0.633714,3.140543,0.125342,0.685952,0
4.571657,0.518608,1.643887,-0.119787,0.017567,0
-2.145714,-0.423148,1.952469,0.319157,1.596583,1
-0.92612,1.409277,0.792978,0.241377,-0.233903,1
-2.112191,-0.795416,0.485351,-0.253609,1.298473,1
-1.939996,0.645783,-0.792979,0.277221,-1.860715,1
1.427576,-0.682891,2.184656,0.412145,-0.058857,0
1.258733,2.003696,-0.54841,-0.58413,-1.279753,0
1.950604,-1.776113,-1.087236,-0.887945,1.327381,0
1.428695,0.150843,-0.341369,1.015654,1.244829,0
2.565249,-2.368329,-0.525132,0.503878,-0.449515,0
1.109658,0.951805,-0.590459,0.851159,0.419164,0
-0.995134,0.022329,-0.146182,0.593395,-1.113812,1
4.351424,0.652743,0.003911,0.424978,-0.618846,0
-2.254055,0.445032,-0.586158,1.24184,-0.431437,1
-0.95591,1.056263,0.034112,0.015257,-0.179962,1
3.440855,0.279648,1.51456,-0.4701,0.352084,0
-3.331775,0.367684,0.221541,1.114811,-0.399329,1
-1.547988,-0.91793,-0.466831,0.452196,-2.092586,1
-1.415147,-0.279266,1.391943,0.948637,1.41682,1
2.458031,-1.053284,0.558387,-0.87102,0.107201,0
2.179581,0.957575,0.34026,-1.383729,0.381415,0
-3.652085,-0.592855,1.040711,0.22636,-2.455836,1
0.126525,1.186403,-0.584984,0.307085,0.046653,0
2.745332,-0.443175,0.676007,-0.293497,-1.91488,0
-1.009165,-0.095677,0.023121,1.511152,-0.548872,1
3.210829,1.603034,0.482891,-1.422685,-0.523498,0
2.590527,-0.485708,0.741068,-0.093877,0.245023,0
-2.899632,0.275854,0.142271,-1.031358,-0.645929,1
-1.411777,2.069636,-0.016682,-1.87584,-0.214337,1
-2.192164,-0.509648,1.136269,-0.272045,-0.836009,1
-2.141052,-0.953643,-1.11411,0.158653,-0.222296,1
2.002372,-0.660977,1.871528,-0.749679,0.043601,0
-1.735801,1.013781,1.574694,0.817331,-0.52412,1
1.250769,0.97457,1.33313,-0.879769,1.181667,0
-1.277399,0.331489,-0.028303,0.495807,0.243906,1
-1.112148,-0.076582,0.48239,-0.591766,-0.141013,1
-2.015736,0.069565,-0.804208,0.794684,1.015492,1
-2.261033,-0.669409,0.897407,0.165574,0.92219,1
-2.566884,-0.692937,0.170003,-0.268307,0.889747,1
2.483213,0.694934,0.654345,-0.591118,-0.518853,0
0.156756,0.113435,-0.732923,1.044168,0.064443,1
1.944267,-0.270727,-0.179,-0.577681,0.260133,0
3.44286,2.395174,-0.838338,-2.501016,-0.278209,0
-2.166413,0.082476,-0.942859,-1.105894,-0.906745,1
2.247037,-0.731953,-0.887668,-0.785801,-0.045933,0
-2.42922,-0.479649,0.563723,2.683838,-1.762049,1
2.309728,0.318199,-0.111773,-0.169596,-0.383765,0
-3.35664,0.007163,1.570261,-1.831474,0.5869,1
1.843867,-0.603962,1.168628,-1.108547,-1.2929,0
-1.977912,0.003655,1.075013,-0.744654,0.182647,1
-1.103404,1.200053,1.827978,-0.528679,0.030132,1
-3.142424,-0.798956,1.457118,0.383058,-0.532141,1
-1.882471,-0.036385,0.847825,-0.999847,1.647583,1
-2.576657,0.288054,-0.433775,0.613338,-0.199081,1
1.974861,1.066005,0.797917,-0.437503,-0.359294,0
-0.009493,0.297509,0.018992,-0.55934,0.082606,1
-1.021746,0.775838,-1.500967,0.045991,1.361402,1
-1.664783,0.045473,-0.030005,-1.749552,0.330774,1
0.833373,-1.90842,-0.042734,0.191059,0.820232,0
2.650935,0.773445,0.092585,-0.826625,0.640363,0
-0.829282,-1.982988,1.070042,1.001925,-0.06581,1
-0.88192,-0.241658,-0.577114,-0.737034,0.334445,1
-2.546651,0.090402,0.004296,1.149782,-1.034023,1
1.835647,-0.900094,0.38956,-1.171913,-0.024268,0
-2.841426,0.877981,1.203786,0.137443,1.370784,1
-1.62972,0.345015,-0.302238,1.035812,-1.017333,1
1.430755,1.817269,-0.930675,0.154965,0.830623,0
-0.941638,0.517557,-0.290693,2.613043,-0.590284,1
-0.812094,0.343504,-0.496672,1.304804,0.667711,1
2.837832,2.26464,-0.26205,-1.57747,0.057243,0
1.1017,-0.528784,-0.613696,-0.091305,0.618419,0
-2.585846,1.498075,1.25119,1.008736,-0.175545,1
0.002944,-0.344932,0.297629,0.7132,0.747209,0
-0.46595,-0.059066,1.681331,-0.563784,-0.376416,1
1.602788,-0.086052,0.195768,-1.932396,-0.100173,0
0.774498,0.357465,-0.358407,0.586405,-1.425262,0
-3.131341,-0.00176,-0.018208,-1.862108,2.187766,1
0.749777,-0.443007,0.273021,-0.59913,1.06625,0
3.2524,-1.748255,-1.327439,-0.998251,-0.88266,0
-1.6971,0.026868,-0.470171,-0.159284,-1.017668,1
2.007884,-0.64869,-0.676528,-0.048468,-0.548662,0
1.298548,-1.565226,-2.575563,-1.216052,1.06897,0
-1.98959,-0.037809,0.633009,1.017148,0.50538,1
0.827847,-0.825877,-0.723856,0.337629,0.202437,0
2.019898,-0.249722,-2.339136,-0.886589,-0.985796,0
-0.642491,0.665323,-0.678627,0.55651,-1.614982,1
2.281304,-0.725749,0.303535,0.086355,1.027031,0
-2.669671,0.697613,0.629432,0.864533,1.923891,1
-1.608857,1.896969,0.356422,-0.470265,-0.82293,1
-0.884659,0.931084,1.970161,0.773766,-1.308938,1
-0.993332,0.728649,0.620537,0.641633,0.554569,1
-1.903965,-0.750916,-0.077392,-1.095209,0.630454,1
1.139482,-0.509315,2.996496,-0.020127,0.55007,0
-2.338105,-0.919467,0.843073,0.827728,-1.147635,1
3.085424,0.149666,1.99254,1.574186,-0.30352,0
-1.528333,-0.460946,0.118236,-0.173563,-2.037938,1
-2.629073,-0.645046,0.370747,-1.555571,-2.033614,1
-2.130627,0.34493,-0.055151,-2.149238,2.531563,1
2.115088,-0.085988,1.913903,1.536949,0.99578,0
-2.27729,1.850125,-1.777316,-0.231722,-0.659556,1
-2.346509,0.382594,-0.516944,2.171517,-1.008223,1
-1.856659,-0.824444,0.959927,0.103532,0.947166,1
-3.238618,0.864524,1.323637,0.778893,0.792637,1
-1.346801,0.226412,0.539868,0.142786,-0.914054,1
-3.009463,0.104233,-0.337407,-0.691397,0.257337,1
2.497989,0.447786,0.795716,-1.652837,-1.190534,0
-0.423246,-0.198979,-0.257148,-0.061566,0.981509,1
-0.772175,-1.878989,0.358392,1.034501,-0.443007,1
-1.118375,-1.706744,-0.345579,0.044063,0.116985,1
2.598415,0.081886,0.581675,-0.283481,1.443624,0
2.302004,-0.671761,-0.794335,-0.189142,0.515752,0
2.318305,-0.178078,-0.802375,-2.392476,0.984544,0
-1.511523,-0.550091,-0.518611,-0.232067,1.408049,1
-2.277748,1.257858,-0.101743,-0.814769,0.241153,1
2.768228,0.613503,-0.627961,-0.482099,-0.135965,0
-1.653504,-2.107399,0.640515,-0.201382,0.230325,1
-2.993637,-0.034849,-0.495303,0.755073,0.332943,1
-0.734871,-0.363312,0.968891,0.824403,-0.073059,1
0.673994,0.306317,0.16192,1.388441,2.267816,0
-2.307127,-0.864646,1.008589,0.212039,1.007528,1
1.515656,1.680742,1.419463,1.524718,-0.266023,0
1.810214,-1.187288,-0.053048,-0.174621,0.500034,0
-3.468026,0.72582,1.039356,-0.805402,-0.079602,1
-1.597008,0.135623,-1.585208,1.319906,-1.048761,1
-2.02683,-0.910316,0.669197,-0.649207,0.315611,1
1.030128,0.286931,0.534209,-0.381217,1.08742,0
0.544025,-0.140597,-1.118107,0.536437,-0.143587,0
2.513492,-0.695964,0.526718,1.063548,-0.684044,0
2.765868,0.417155,-1.109463,1.097375,-0.515018,0
-0.523986,0.084895,-1.228531,-1.21843,-0.564676,1
1.835085,1.53209,0.016388,-0.2174,-0.155311,0
-1.092475,-1.063387,0.58999,0.58685,-2.808055,1
2.019182,-1.484871,1.7023,-0.753045,0.138388,0
-0.672726,0.073813,-1.537056,0.060374,1.365246,1
1.879021,-0.044103,0.211854,0.065469,-0.041347,0
-1.925707,0.336071,0.660161,-1.238648,0.057318,1
-1.111371,0.050744,-0.988192,-0.085202,-1.877057,1
-2.916316,0.318601,-2.421753,1.283057,0.776555,1
3.252683,1.187112,1.903639,-0.011231,-0.207455,0
0.580408,-0.643622,1.201808,-1.016647,0.341897,0
-1.620438,0.618775,1.019586,-0.766874,0.783379,1
-0.242206,-1.274363,0.226958,0.518332,-1.538389,1
-1.046902,0.328297,0.350647,-0.408149,-0.703318,1
-2.968928,1.053876,-0.6401,-0.631718,-0.151167,1
-1.325185,-1.200829,-0.728959,-0.458736,-1.187126,1
3.473384,-0.487463,-0.217761,-0.70097,0.512293,0
-3.293647,0.427678,1.34563,-0.526791,-0.157193,1
2.544269,-0.278924,0.58095,0.044949,-0.681121,0
1.645063,-1.321463,-0.961552,-0.257764,0.541658,0
1.382946,0.381468,0.395992,1.351047,0.598845,0
-1.562494,-0.414099,2.833957,0.83865,1.184497,1
1.999767,0.038013,-0.054454,-0.551746,-0.486961,0
3.192883,-0.592674,-0.21153,-0.438968,-0.160593,0
2.515673,-0.503192,1.095735,0.039237,-0.282503,0
-2.25381,1.651291,-0.961351,0.651876,-0.793244,1
0.523305,-0.328876,-1.066874,-0.811399,0.302175,0
-2.232044,-0.738841,-0.761266,0.044057,0.351258,1
-2.037739,-0.333941,1.097733,1.98451,-0.200905,1
2.190575,0.355945,-1.039659,0.996955,-0.298578,0
0.636906,-2.235006,0.573942,-1.330228,0.817744,1
-2.079643,0.096031,0.039373,0.242971,0.222423,1
4.134905,0.175227,0.47923,-0.227275,0.585414,0
2.411546,0.292405,-0.076294,-0.983627,0.264948,0
-1.502962,-1.225867,0.26624,0.775657,-0.82335,1
-0.431525,1.126376,0.009948,-0.272583,-1.367699,1
-2.881841,1.509643,-0.305619,-0.830052,1.073649,1
-1.190454,-0.114217,-0.477101,-2.744949,-0.530106,1
1.594416,0.569006,-0.462764,1.591915,1.854746,0
-1.820367,-2.129013,0.428363,0.003583,1.703676,1
-0.92839,-0.046843,1.349015,1.118442,0.02737,1
-0.718738,-0.580415,-0.090596,-0.591543,-0.495539,1
-1.295145,-1.150088,-1.322293,-1.661216,-0.326299,1
1.682172,0.251054,-1.827076,0.661822,-0.181717,0
1.581239,1.278608,-0.026775,-0.477774,0.05334,0
1.637724,-0.180734,1.230627,-0.030369,0.649006,0
0.167955,-0.551381,0.014115,-0.932911,-0.975657,1
2.777183,-0.338146,-0.781894,0.326448,1.028354,0
1.399398,-0.027576,-0.677722,0.282938,1.391834,0
-2.101859,-0.199328,0.214641,-0.998033,-2.518478,1
-0.837316,-0.039575,0.410879,0.621702,0.096408,1
0.728635,-0.292134,-0.554547,-0.384833,-1.338775,0
2.991032,0.476057,0.627538,-1.652403,0.721511,0
2.454306,0.570275,0.793253,-1.54057,2.227736,0
3.806778,1.082604,0.023619,0.316762,0.670862,0
-1.911388,0.244092,-0.339919,0.211211,0.395915,1
-0.673055,-0.279611,0.382088,-0.263436,0.130526,1
0.554824,-0.043381,0.710809,-0.618288,0.637965,0
1.909181,-1.384494,0.180719,0.171271,-0.48164,0
-0.692085,0.384532,-0.867441,0.68368,-0.1946,1
-2.132055,0.172204,1.320197,-0.167454,-0.243769,1
2.577807,0.341618,-0.814273,-0.872177,-0.437098,0
2.353781,1.322374,-1.374008,-0.599183,0.776594,0
3.07812,-0.02086,-0.248506,-0.445182,-0.982,0
2.531764,1.450222,0.108106,0.634969,0.594691,0
1.666702,0.578623,-1.703449,-1.053153,0.763908,0
-2.796068,-0.786116,-0.301085,2.037771,0.181428,1
2.277408,0.380877,-0.933991,-0.394451,1.141574,0
2.139206,-0.2154,1.120324,0.355509,-0.344195,0
-2.504815,-1.589193,0.05719,-0.254667,0.041615,1
3.042752,0.472304,0.772531,-0.199758,1.038047,0
1.952506,2.161349,-0.464068,0.862056,-1.283214,0
0.950475,0.003336,1.540097,-0.175453,1.842848,0
1.672142,-0.504503,0.089168,0.020936,0.353414,0
-1.08369,-0.409636,-0.034254,2.181627,-1.278079,1
0.692601,1.918502,-2.270923,0.695748,-0.290131,0
-2.498863,-0.484636,-1.134429,-0.133139,-0.042436,1
1.681168,-0.843565,-1.042131,-0.205204,0.056573,0
-1.877168,1.693255,1.21806,0.753814,1.273885,1
-2.177515,-0.22346,-1.584396,-0.093802,0.640577,1
-1.512642,-1.629874,-1.299804,0.485441,0.447694,1
-2.388683,0.348387,0.08414,-0.524072,0.546131,1
-0.493595,-0.31563,0.548252,-0.663202,-0.619534,1
-2.901036,1.480737,-0.564883,1.107979,0.323915,1
2.692871,-0.146593,1.595936,0.106511,-1.122338,0
-2.970131,0.155075,0.328322,2.222036,0.803255,1
2.674821,0.390854,0.956894,0.61602,1.13424,0
-1.416628,0.539713,0.449288,0.771099,0.068435,1
0.195149,-1.084781,0.713877,0.260766,-0.766306,0
0.64969,0.059793,0.43886,0.110408,1.508978,0
2.515857,-0.435669,0.322331,-0.677872,-1.190118,0
1.439043,-0.097443,1.172834,0.87899,-1.963714,0
2.346225,-0.101414,-0.542696,2.192112,-1.784298,0
2.109062,0.702119,0.716747,0.408088,-0.817626,0
3.117465,-0.982942,0.755115,0.840026,0.182208,0
2.214555,0.485234,-1.622664,-1.008991,1.832222,0
0.255646,1.453453,-1.246727,0.888443,0.199374,1
-2.481466,1.11986,-1.001552,0.289939,-0.865533,1
-3.319508,-0.33258,0.143462,0.941192,1.483833,1
-2.182465,-1.375238,0.754232,-0.95148,-0.179665,1
2.242867,1.51742,0.65174,-0.009268,-0.502628,0
2.14726,0.162814,0.846847,-0.399073,0.364297,0
-2.041722,-1.170953,-0.183865,0.679997,-0.161129,1
-2.161333,-0.052873,0.572713,-1.051319,0.87952,1
0.496875,1.749903,1.450556,-0.174518,0.491794,0
-1.176245,-0.251461,0.256477,0.091559,-0.62222,1
-2.818508,-0.317117,-0.353344,0.497849,-0.125975,1
2.243066,-0.341344,-1.137021,-0.500395,-0.582677,0
-1.413943,2.796967,-1.516697,0.812528,-1.056201,1
3.05655,-1.033335,-0.184561,0.127017,1.105916,0
-1.526703,-0.006304,0.160219,0.732064,0.646666,1
-0.581771,0.417096,-0.940034,-0.591301,0.425876,1
2.045038,-0.14015,0.880618,-0.783488,-0.642105,0
0.555274,0.481744,-0.522751,-0.424844,-1.043092,1
1.930816,-1.301272,-1.823784,-0.280103,-0.93727,0
1.372717,2.582656,-0.329821,1.301403,-0.156322,0
-1.426233,0.056784,0.323736,-0.189334,0.413477,1
-2.640177,0.364394,0.593604,0.715869,1.22687,1
-2.670994,0.731795,0.581036,0.695671,-0.462427,1
2.223698,0.247358,0.268626,-0.269902,0.537063,0
2.725902,1.271392,0.965336,-1.196265,1.326792,0
-3.27359,0.187085,0.346103,1.504503,-0.60039,1
1.395542,-0.081283,0.514626,-0.405714,0.095802,0
-0.949726,0.45385,1.794855,0.039634,0.088265,1
-2.750612,0.318502,1.189613,0.406571,0.938323,1
2.420067,-0.145554,0.043783,-0.092352,-0.257861,0
1.703431,1.114343,-0.793937,0.848621,0.290166,0
1.870726,0.096329,-0.679386,-0.175319,0.835503,0
-2.461807,0.165179,-0.610184,0.132249,-1.545755,1
3.060421,-0.298514,0.140601,-0.524203,-0.726191,0
0.145999,0.803555,-0.793061,0.540717,0.678501,0
-2.479425,-0.794341,-0.535626,-0.104941,0.30796,1
0.73991,1.324083,0.139172,-1.560456,-0.454869,0
-3.134226,-0.209019,0.167206,0.170649,0.798489,1
0.238748,-0.036034,-0.18462,0.726054,0.732147,0
1.389594,-0.277494,-0.907895,-0.686114,-0.017529,0
1.888696,0.494447,0.587696,0.553485,1.142621,0
-2.502162,-0.087056,-1.601293,-1.580352,0.993463,1
-0.822901,0.185174,0.855998,-0.122772,1.061304,1
0.876198,-0.171233,-0.28248,1.152525,-1.124359,0
2.094762,0.551882,-1.572552,-0.976752,0.510274,0
-0.933828,1.624927,0.826875,-0.202139,0.261229,1
-3.810489,0.481343,2.200742,-0.640986,0.237318,1
2.104125,0.329373,0.784453,-0.283969,0.200197,0
2.19903,-0.352316,-0.923339,-0.054911,0.831319,0
1.287191,-0.933744,2.140725,-0.639582,-0.176311,0
-1.955821,0.441712,1.115149,1.337214,1.160112,1
-2.391815,0.680362,1.720609,0.97368,0.413725,1
3.239326,0.375786,0.188388,0.411778,0.407379,0
-0.731588,0.045972,-0.212293,-1.616071,0.979082,1
-1.183554,-0.166106,-0.796759,-0.029014,0.732859,1
3.122755,-0.068273,-0.444064,-0.603701,0.26636,0
2.855785,-1.362277,-0.686377,0.410966,0.101167,0
1.399395,0.659096,0.916285,1.267331,-1.041375,0
0.334579,0.204384,-0.093433,1.44476,-1.510936,0
