-0.601f03+0.509f01-0.431f04+0.429f02-0.097f05,'-0.718f02+0.636f01+0.23 f04-0.148f03+0.064f05',0.843f05-0.495f04+0.185f03-0.09f02+0.035f01,0.611f04-0.547f03+0.507f05-0.189f01+0.186f02,-0.547f01-0.532f03-0.507f02-0.377f04-0.136f05,class
-1.16356,0.633872,0.475248,1.63121,0.289521,1
-1.858484,0.817801,1.480019,2.749211,-0.585518,1
1.468372,-0.508237,0.012822,1.586735,-0.516784,0
1.394756,1.971366,0.35259,-0.65329,-0.34566,0
-0.411582,-1.393201,0.345165,-1.808195,-0.347097,0
1.793968,2.475723,-0.059336,-0.456271,-0.410159,0
-0.629536,-1.109132,0.313496,-2.17417,0.079568,0
0.578294,-0.41252,0.244058,-1.179023,-0.914298,1
-1.608773,0.257093,-2.093267,0.2448,-0.034425,1
-1.141872,0.465864,-0.719907,-0.780016,-0.583859,0
-0.731056,-0.669387,-0.390185,-0.409316,-0.142787,0
1.366317,2.47203,-0.526187,-0.466194,-1.020533,0
1.936517,0.889608,-0.103755,-0.139208,-0.031689,0
-0.246315,-0.832668,-0.517563,-0.208762,-0.274226,0
1.329785,-1.089754,-0.249426,0.370564,0.607097,0
0.65343,-0.67666,0.127161,-0.204999,0.244633,0
-0.864621,-1.051424,-0.402249,0.131668,-0.878079,0
-1.345883,0.74798,0.767149,1.32103,0.333832,1
-1.078229,-0.304788,1.944059,-1.290885,0.039063,1
-0.896045,0.790497,0.155812,1.008677,-0.450236,1
-0.917146,0.206814,0.919257,0.993017,0.170712,1
-0.697187,-0.793808,0.324746,-1.850164,0.200157,1
1.706847,1.942618,0.183872,-0.364624,-1.202308,0
1.884097,-1.319847,-0.329657,0.399737,0.175541,0
-0.831471,-0.831949,1.880634,-1.397758,-0.307842,1
1.969167,-1.682388,-0.385584,0.537563,0.047755,0
-0.785897,-1.255539,0.276265,-1.836036,0.60292,0
-1.076063,0.187303,-0.343473,0.150941,0.291853,1
1.316718,1.691625,0.069633,-0.427989,0.286678,0
1.508478,-0.310484,-0.082293,0.682946,-0.107499,0
-0.961129,-0.746169,0.815082,-1.654187,0.221083,0
-1.29611,-0.4582,3.557453,-0.46414,0.024263,1
1.701995,2.317954,0.01384,-0.669048,-0.682229,0
-0.258014,0.635171,0.579303,-2.239303,-0.44991,0
-1.788982,0.099639,1.048197,0.008505,-0.509306,1
1.150749,0.727877,0.01994,0.120413,0.257576,0
-1.05035,0.41783,-0.649359,0.717018,0.596889,1
0.784353,-1.644585,0.372437,-0.542476,-0.042171,0
-1.427136,1.032352,1.024539,1.296789,3.001975,0
-0.449304,-0.344545,2.782807,0.106109,-0.134778,1
-0.706182,-1.142189,0.393454,-2.514501,-0.003498,0
0.173625,-0.360036,0.823138,-1.184419,1.397321,0
1.764825,-0.68206,1.346387,0.994491,0.011723,0
-1.431146,-0.423979,-1.19052,-0.527516,-0.946036,1
-1.621847,0.210266,-1.590138,-0.002392,-0.034313,0
0.97062,-0.44087,-0.280256,0.091545,1.124497,0
1.404016,2.580397,-0.469423,-0.438083,-0.986706,0
-0.66532,-0.897134,1.553288,-1.241947,-0.32105,0
-1.783192,0.683652,-2.539971,0.649489,0.116227,0
-0.368172,-1.127113,0.222341,-1.660269,0.252925,0
0.506315,0.574501,1.679972,0.405815,3.466876,0
1.001311,-1.534408,-0.090222,0.577615,1.164461,0
1.782015,-1.343803,-0.207822,1.551592,-0.575567,0
-0.187588,-0.635117,-1.258913,0.184024,-0.761041,0
-0.689218,-0.648406,0.571198,0.289799,-0.614063,0
1.869463,-1.28004,-0.365785,0.411114,0.189209,0
0.050301,-1.161813,-0.833766,0.088953,-0.698285,1
1.762785,2.422775,-0.07528,-0.43973,-0.398947,0
-1.697529,-0.080869,-0.220661,-0.271611,-0.206653,0
-1.260824,0.216236,2.734845,1.77913,-0.581606,1
1.938059,-1.975557,0.737858,1.247951,-0.060328,0
-0.878033,0.309914,2.063712,1.481677,0.652303,1
1.830298,3.497302,0.200703,-0.96352,-0.170893,0
-1.808875,0.501241,-1.180292,1.257207,-0.101057,1
-0.83326,0.474676,0.326512,1.259454,0.443063,1
-0.307425,-0.923994,0.24844,-1.3014,0.208667,0
-1.079478,-0.692964,1.579655,-1.416993,-0.151278,1
0.504748,-1.045688,-0.249201,0.272385,-0.376235,0
0.010486,-1.347878,-0.250875,0.04408,-1.028626,0
-0.939973,-1.19471,1.091635,-2.183847,-0.265983,0
-0.618151,0.4674,1.253341,0.952777,1.337547,0
2.065397,-2.022481,-0.442509,0.638194,0.148181,0
1.854065,-0.804317,-0.298528,0.235096,0.146279,0
1.6903,-1.641593,-0.376244,0.419096,0.366972,0
-0.659913,-0.796616,0.980401,-1.844082,0.299684,0
1.013204,-0.653172,0.968983,0.784524,0.937736,1
0.582857,-0.190598,0.764517,0.428567,1.459897,0
1.520892,0.978144,-0.164429,-0.052452,-0.027862,0
-0.747857,-0.325248,1.364577,0.825867,-0.796646,1
-1.907131,0.471666,0.750156,-0.032402,-0.551386,1
1.872918,-0.874137,0.19828,0.587958,-0.128428,0
-1.722037,0.363343,-0.949378,0.895467,-0.145298,1
-1.2413,0.783069,1.271054,1.364986,0.204136,0
-0.912938,-0.651796,0.878557,-1.746677,0.279794,0
-0.622319,-1.111883,1.656929,-1.119328,-0.208776,0
-1.458175,0.456617,0.343416,1.68443,-0.100915,1
0.373416,-0.872918,0.013278,-0.508455,0.366099,0
-1.317308,0.703235,1.866543,2.132894,0.248529,1
-1.072537,-0.897381,0.977545,-2.022759,-0.138215,0
-1.336406,-1.217116,1.024614,-2.04377,0.112553,0
-1.141657,0.574594,-0.674286,0.762185,0.749586,0
-0.109471,-1.003475,0.285476,-1.420497,-0.018137,0
1.639369,0.006775,-0.722816,-0.785311,2.459157,1
-0.011126,-1.13522,1.322851,1.55112,-0.865685,0
-1.568495,0.08709,-1.293929,-0.084138,-0.029502,1
0.117782,-0.208211,-1.317754,0.616185,-1.037916,0
1.543553,1.230528,-0.128855,-0.148021,-0.124955,0
-1.033365,0.443963,-1.960705,0.14752,0.690765,1
0.575593,1.153144,0.130842,-0.16636,0.43403,0
1.773748,-1.351681,-0.549676,1.165516,0.044745,0
1.782145,-0.34936,-0.259326,0.072914,0.088111,0
1.385636,3.050702,0.091709,-0.711275,0.098202,0
-1.620187,0.538918,-0.194884,-0.390695,-0.254283,1
-1.285742,0.569263,1.50012,1.846823,0.158591,1
1.548551,-1.727531,0.430948,1.760863,-0.333295,0
-1.064234,1.212178,1.112079,2.314737,1.584822,1
1.338201,-0.059619,1.04222,1.649701,-0.37958,0
-1.61475,0.29022,-1.867549,0.381073,-0.023174,0
1.325214,2.383267,0.315091,-0.556896,-0.345727,0
0.293513,-0.322943,0.223509,0.199371,0.038889,0
0.363427,-0.758715,0.14412,-0.862004,0.098397,1
-1.437519,0.83464,0.600908,-0.253707,-0.280899,1
2.171258,-1.915082,-0.223544,0.766048,0.028743,0
-1.181936,-0.914475,1.001081,-2.088483,-0.167611,0
1.054312,-1.108664,-1.536754,1.335996,-0.354276,0
-0.182578,0.016818,0.464759,-0.621337,1.706426,0
-1.21344,-0.657617,1.773954,-1.491547,-0.019753,0
0.987626,-1.729988,1.201265,0.364516,-0.814389,0
-0.649407,-0.779398,0.657625,-1.296572,0.341158,0
-0.821453,0.077381,-1.220871,-0.80549,-0.350362,1
0.388767,-0.880571,-0.676137,-0.038796,-0.06319,0
-0.833957,0.338726,-0.349646,0.344764,0.875479,1
-1.205413,0.886637,-1.856376,0.425333,0.008961,0
1.266352,-1.506252,-0.189165,1.079566,0.190878,0
-1.472786,0.320267,0.859612,0.868216,0.218673,0
1.927402,2.693303,0.198385,-0.445233,-0.577778,0
1.351593,-1.274416,-1.363176,1.118745,-0.17356,1
0.434434,2.277189,-0.223923,-1.210958,-1.148323,0
0.983277,1.617233,0.558439,0.075215,-0.671976,0
-2.054009,0.236604,-1.621583,-0.192238,-0.809028,0
1.084047,-0.433868,-0.150119,0.223105,0.888188,0
-2.539815,0.211239,1.252378,0.499557,-1.002559,1
-1.23183,-0.158834,-0.262448,-0.096933,-0.182386,1
-0.370636,0.189868,3.161325,0.882694,1.164872,0
1.387147,-0.40218,-0.876934,0.158985,0.260038,0
1.322122,1.164584,0.045323,-0.010136,0.062738,0
1.436592,-1.604143,0.335635,1.86038,-0.236441,0
-1.598568,0.462816,-1.876056,0.439176,0.09554,0
-0.776816,-0.884444,1.696604,-1.345812,0.163274,0
-1.537351,0.315958,-1.552538,0.156609,0.244897,1
1.005812,-0.775565,-0.189658,0.287564,0.829392,0
2.05319,-0.248069,0.116597,0.3367,-0.319675,0
-1.370485,0.352619,-0.772536,0.724683,0.058905,0
1.311118,0.616916,0.070172,0.259843,0.066722,0
0.298017,-1.232234,0.235667,0.471337,-0.158572,0
-0.175121,-0.764353,0.122289,0.22942,0.211271,0
1.81276,-1.265447,-0.336562,0.412054,0.152839,0
0.663738,-0.184508,-0.484986,-0.2464,-1.283461,0
1.264333,-0.23246,-0.534308,0.398449,0.302003,0
0.665329,-1.10253,-0.805717,-0.072546,-0.488951,0
0.170594,-0.698745,-1.430331,0.831208,-0.857472,0
-1.520828,0.457791,-2.646664,0.354405,0.079612,1
-2.354501,0.827312,-2.05629,0.096238,-0.671584,1
-0.104845,-0.130943,0.634825,-0.927651,1.493484,0
1.229757,-0.557605,-0.663391,0.520965,0.405086,0
2.360369,1.329596,-0.049659,-0.312588,-0.680261,0
1.651283,-2.332223,-0.433445,0.700746,0.765489,0
0.945807,0.530094,0.871706,-0.616005,3.687994,0
0.764655,-0.881329,-1.752156,1.448468,-0.165026,0
-0.658931,-0.619411,-0.451311,-0.315751,0.003808,0
-1.183653,-0.662766,2.991347,-0.678214,-0.155057,1
1.475683,2.252308,0.365808,-1.478566,-1.082537,0
-1.264844,0.043234,-0.066152,-0.332731,0.273829,1
0.599176,-1.615468,-0.062613,0.788216,2.369219,0
1.598289,-0.239794,-0.059498,0.732897,-0.219327,0
1.877906,0.285918,-0.165339,-0.026469,-0.005521,0
1.001576,1.594576,0.180633,-0.341011,0.12369,0
1.623694,-0.436017,-0.593037,-0.075811,1.918421,1
1.661646,-0.272944,-0.193132,0.114308,0.289175,0
-1.491601,0.442333,-0.819852,-0.529391,-0.043681,1
0.913788,-0.894368,-0.20771,0.906955,0.571526,0
1.490144,-0.669067,-1.205993,1.16942,-0.34396,0
-1.644495,0.481786,-2.307985,0.329085,0.165796,1
-1.273542,0.361307,-1.992117,0.361912,0.341744,0
-0.744359,-0.774731,0.711067,-1.402501,0.34719,0
1.789617,0.677779,0.127913,0.042737,-0.122051,0
-1.322348,0.461087,-1.291977,0.316702,0.673661,0
-0.663548,-0.55302,0.517734,-2.22628,0.134388,0
0.698502,-1.684311,0.344506,-0.566882,-0.263982,0
1.480612,3.201225,0.102443,-0.741419,-0.008297,0
-0.935766,0.338628,-2.17117,-0.21859,0.264785,1
-0.718687,0.800085,1.633175,2.367943,0.779819,1
0.118626,-0.232998,0.173344,-1.21312,0.171027,0
-1.888945,0.282826,1.727488,0.393191,-0.658898,1
0.633857,-1.56604,-0.518361,0.043355,-0.974855,0
1.056208,1.134471,0.195197,-0.131266,-0.127928,0
-0.322876,1.15523,0.57364,0.088382,-1.042941,0
-1.48271,0.862303,1.949398,2.506238,0.418216,0
-0.631664,-1.121851,0.295963,-1.305264,0.626549,0
-0.601168,-0.913815,0.280275,-1.687574,0.176061,1
-0.710937,0.393155,-0.567055,0.647854,0.596033,1
-1.68437,0.314842,-0.679187,-1.099789,-0.404184,1
-1.244925,0.441145,0.472557,0.075156,-0.172409,1
-0.787686,-0.694969,0.325149,-2.109776,0.099059,0
-1.139406,0.421972,-2.634878,0.061605,0.50978,1
1.115302,1.239746,0.142834,-0.198816,-0.122128,0
1.342002,2.988476,0.41871,-0.856629,-0.075567,0
-1.07271,0.469141,0.989221,1.505032,0.563784,0
1.992758,-1.901981,-0.847965,1.122291,-0.285624,0
-1.041537,-1.155482,0.949439,-1.794422,0.395626,0
-1.301572,0.475536,0.533148,0.130499,-0.159819,1
-0.522159,-0.10962,-1.352071,-0.396344,-0.909808,1
-1.655114,-0.020795,0.561892,-0.235354,-0.395549,0
0.292845,-0.748257,0.26448,-1.331201,-0.236979,1
1.536548,-1.245822,-0.126115,0.524914,0.500236,0
-0.95986,-1.41999,0.305833,-1.89768,0.283336,0
-1.065588,-0.663194,0.400277,-2.168039,0.189813,0
-1.649817,-0.026925,-1.605137,-0.030916,-0.223243,0
-0.6355,0.035703,-0.999581,0.09765,0.18834,1
0.761896,-0.588681,-0.445266,0.624712,0.942517,0
-0.544431,-1.065542,-0.49305,0.327118,-0.946613,0
-1.027749,0.441948,1.353592,1.808032,-0.00111,1
-1.468682,0.381259,-1.581529,0.321088,0.264445,0
1.729664,0.128957,-0.502781,0.550023,2.524319,0
1.57471,-1.40176,-0.1579,1.680342,-0.470433,1
-1.726924,-0.57237,-0.203095,-0.229418,-0.150817,0
-1.784681,0.765833,-2.455378,0.542286,0.076204,0
2.042057,-1.695156,-0.355548,0.526346,0.108707,0
-0.199441,-0.384539,0.792799,-0.644887,0.243267,0
-1.476967,0.505665,-2.014906,0.664322,0.263537,0
-1.322191,-0.2525,0.931294,0.499328,-0.744647,1
-0.248942,0.810317,-2.496197,0.938894,1.533438,1
0.483853,-1.611861,0.441641,-0.859475,-0.566167,0
1.376308,2.752885,-0.384081,-0.506084,-0.942452,0
-1.696626,-0.273857,-0.741451,-0.6544,-0.457804,0
-1.805329,-0.402239,-0.867289,-0.995656,-0.526444,0
-1.759736,-0.292408,-0.314211,-0.248807,-0.756939,0
-1.472636,0.86202,1.6147,2.413245,0.109648,0
0.388363,-1.506299,0.074623,-0.929325,0.13268,0
-1.260218,-0.2562,-1.451885,-0.301436,-0.386198,1
0.686787,2.255769,0.143588,-0.565577,1.073719,0
-0.635256,-0.428989,1.459279,-0.91141,0.425708,1
-0.819439,0.301174,1.651722,1.471472,0.658593,1
1.41978,-0.999565,-0.051692,-0.491222,-0.917365,0
-0.790705,0.50378,0.892761,1.495994,0.194744,1
1.48957,0.098778,0.040786,-0.618266,-0.772069,0
1.20668,-0.472081,-0.264961,0.555444,0.35225,0
0.132142,-0.148914,0.831632,0.396275,-0.599725,0
-1.63992,0.322473,0.68966,0.640051,-0.697344,1
1.183779,-1.086699,0.765667,2.231552,-0.131552,0
1.864277,0.398439,-0.060643,0.952447,-0.676205,0
-0.971764,-1.443478,0.809717,-1.596562,0.082063,0
1.466823,-0.370622,0.102907,0.377105,0.322993,0
1.160569,-1.821059,-0.005618,-0.408157,-0.511315,0
1.686372,-1.279635,-0.989792,1.186007,0.107511,0
-1.767026,0.260402,2.152001,1.081147,-0.770733,1
1.220656,1.880278,0.206184,-0.351825,-0.30347,0
-1.389731,0.194856,-1.549691,0.230451,0.644193,1
-1.019993,-0.875669,0.945254,-1.883925,0.152227,0
-0.870434,0.338448,1.903038,1.867378,0.591674,1
-1.097214,0.434215,-0.45359,0.279661,0.220497,1
1.54859,2.568352,0.90481,-0.115212,-0.926801,0
1.062011,2.038659,0.244932,-0.413184,0.087027,0
1.218835,2.261235,0.001674,-0.681623,-0.308516,0
-0.574844,0.209539,-0.271698,0.348041,1.125758,1
1.04771,1.749582,-0.017914,-0.317406,0.387851,0
1.463562,1.712171,-0.21394,-0.623461,-0.621832,0
-0.38663,0.582299,-1.724646,0.542846,-0.752378,0
0.760322,-1.459053,0.035611,-0.668226,-0.272159,0
1.473233,2.050409,0.338643,-0.702182,-0.441499,0
1.677698,-0.782165,0.082875,1.168951,-0.347215,0
-1.267053,0.273633,-0.830612,0.903629,0.255467,0
-1.079986,0.019023,2.006819,1.209565,-0.785248,1
-0.28571,-0.85866,-0.503768,-0.264468,-0.316788,0
0.578329,-1.494129,0.098878,-1.066496,-0.677439,0
-0.500531,0.070574,3.413462,0.845799,0.723257,0
1.828606,-1.324107,1.228637,1.32919,-0.034809,0
1.177188,2.296137,-0.016449,-0.566415,-0.162289,0
1.759558,-0.062567,-0.18373,0.056241,0.032471,0
1.833272,-0.363334,0.075286,1.126189,-0.582317,0
-0.672325,-0.198167,2.93781,-0.258117,-0.061846,1
-0.129245,-0.833885,0.16496,-1.065552,0.358591,0
1.138176,0.874548,-0.077646,-0.31479,-0.219088,0
-0.267088,-1.464273,0.413765,-1.732059,-0.106256,0
-1.34731,-0.418821,-1.204289,-0.91154,-0.451308,1
1.561624,0.765955,-0.23759,0.044303,-0.070611,0
-0.277052,-0.865862,0.220723,-1.212964,0.372414,0
0.630036,-1.303013,-0.679366,0.041599,-0.588321,0
-0.174721,-0.616426,0.250263,0.360928,-0.083489,1
1.550561,1.090341,-0.223488,-0.029691,-0.175241,0
-0.744862,-0.408471,-0.494328,-0.580044,-0.653845,0
1.642952,-1.479041,-0.707197,0.917058,0.014235,0
-0.906964,-0.146363,0.240285,-0.526855,1.105793,0
1.994006,2.252131,0.082895,-0.584972,-0.434822,0
-1.107463,0.489061,0.973576,1.479253,-0.067973,1
0.187719,-0.339947,0.380629,-1.599741,-0.455825,1
2.014169,-1.628086,-0.365257,0.51657,0.101796,0
-0.318146,-0.591564,-0.659781,0.12981,0.207557,0
-0.121996,-0.781967,-0.288754,-0.081695,0.135649,0
-2.146233,0.263528,1.356378,0.131688,-0.68221,1
-0.684803,2.580153,-1.727483,0.561526,1.538375,0
-0.793672,0.31635,-0.164275,0.062937,0.934445,0
