0.381f02+0.378f03+0.346f07+0.336f05+0.336f08...,0.907f09-0.255f06-0.229f07+0.166f05-0.142f01...,-0.863f01+0.425f04+0.195f07+0.125f08+0.106f05...,-0.535f06-0.465f04+0.448f08+0.392f05-0.249f09...,-0.671f05+0.649f08+0.251f07-0.137f02+0.128f09...,class
-1.891875,0.100389,0.649665,0.124546,0.056875,1
-1.931474,0.062508,0.496176,0.067476,0.18665,1
-1.716341,0.191656,-0.073026,0.089625,-0.441053,1
-2.068258,0.237998,0.182971,0.097199,-0.12649,1
-0.937602,1.252697,0.008472,0.123055,-0.165533,1
-1.666962,0.168249,0.004571,0.233583,-0.303966,1
4.414245,2.411261,1.710988,-0.167609,0.42699,-1
-1.960766,0.187409,-0.12347,0.060845,-0.103979,1
-1.917281,0.17911,0.718421,-0.033833,-0.041221,1
0.750574,-1.099488,0.535965,-0.9232,-0.321935,-1
-1.579459,0.101847,-0.161643,0.234348,-0.209297,1
-1.461906,-0.101965,-0.576097,-0.02087,0.146921,1
-1.512719,0.055478,-0.438586,-0.337628,-0.049272,1
-1.603844,-0.007867,-0.656224,-0.016367,0.043982,1
0.984123,2.748326,-0.986106,-1.118343,0.29894,-1
-1.711336,0.042722,-0.349783,0.019987,0.021471,1
3.553246,-0.92292,1.405602,0.581135,-0.106771,-1
-1.691726,0.06479,-0.056067,0.114176,-0.036147,1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
-1.844235,0.172032,0.025413,-0.102038,-0.099137,1
-1.648241,0.056491,0.785824,0.019497,0.026611,1
4.374984,0.06909,-0.477731,1.033275,0.844345,-1
-1.449426,0.125793,-0.260781,0.34379,-0.06876,1
4.295583,-0.696473,1.261892,-0.565296,-0.814413,-1
-1.511284,-0.078558,-0.653694,-0.164828,0.009835,1
-1.818828,0.09331,-0.043343,0.056341,-0.001041,1
1.529908,-1.206501,-0.745704,-1.330794,0.134902,-1
-2.033813,0.194487,0.569538,0.129049,-0.046064,1
-1.668155,-0.004561,-0.42485,-0.272432,-0.149763,1
-1.4938,0.000266,-0.615135,0.130194,0.256677,1
-1.569398,-0.051377,-0.269657,0.015484,0.124409,1
-2.211086,0.198271,0.590381,-0.206572,0.158766,1
5.466949,-1.312495,-0.623396,1.966361,-0.64951,-1
1.483971,-0.613405,-0.337715,0.658614,-0.842685,1
-1.566847,0.007345,0.077873,0.198398,0.314592,1
0.246008,-0.307667,0.776943,-1.663837,-0.689988,1
1.819061,-1.211522,-0.425429,-0.303626,0.35448,-1
-1.005258,0.117757,-0.465099,0.420168,-0.01163,1
-1.237439,-0.054808,-0.497339,-0.045816,-0.040922,1
0.372401,-0.604401,0.070731,-0.485098,0.904946,-1
5.51634,0.883044,1.064779,0.488782,-1.198006,-1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
-1.673896,0.171056,0.620631,0.409043,0.076884,1
6.80702,3.046746,0.455633,-1.11948,1.323096,-1
-1.666519,0.281371,0.240887,0.407874,-0.519163,1
1.598574,0.194318,-1.578318,-0.74378,0.535486,-1
2.291392,-1.427402,0.568407,-0.513831,-0.676442,-1
4.149502,-1.150211,-1.078387,0.948742,-2.598402,-1
3.788268,-1.197812,1.7727,-0.061773,1.155135,-1
-1.745781,0.086232,-0.736351,-0.011863,-0.058956,1
-1.405227,0.00489,-0.745026,-0.373982,-0.02676,1
2.876518,0.723594,1.616137,-1.769144,-1.418723,-1
-1.618679,0.057711,-0.749075,0.045971,-0.094062,1
-1.701407,0.211759,-0.381997,0.201733,-0.384393,1
-1.923712,0.244283,0.481689,0.258104,-0.228981,1
1.628986,-1.038887,-0.179665,-1.991846,-0.126741,-1
-0.65357,-0.246945,-0.219009,-0.066165,-0.281921,1
1.133669,-0.560808,0.79466,-0.086531,-0.555644,-1
-0.860396,-0.087935,-0.78997,0.410742,-0.324232,1
-0.593471,-0.371856,1.144699,0.339312,0.526206,1
-2.033813,0.194487,0.569538,0.129049,-0.046064,1
3.267915,0.22107,-1.218718,0.820197,-0.966337,-1
1.572166,-1.160624,0.818127,-2.338148,-0.324043,-1
-1.351862,-0.093832,-0.535008,0.12569,0.359615,1
-2.092086,0.033764,0.447936,-0.421472,0.067029,1
-1.334803,-0.130486,-0.588822,0.036964,0.111815,1
1.373376,-0.56938,1.327247,0.53139,-0.314695,-1
-1.354413,-0.152554,-0.882538,-0.057224,0.169432,1
-0.869322,-0.009813,0.136102,-0.653537,-0.234733,1
-1.414691,0.034897,0.080917,-0.37018,-0.504506,1
-2.112632,0.112471,-0.171383,-0.116397,0.198947,1
-1.4938,0.000266,-0.615135,0.130194,0.256677,1
-1.526218,-0.09866,-0.344723,-0.276936,-0.046825,1
-1.461906,-0.101965,-0.576097,-0.02087,0.146921,1
-1.657923,0.20346,0.459894,0.107055,-0.321636,1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
-1.784382,0.0498,0.343225,0.088192,0.079386,1
-1.238634,3.990462,0.128132,-0.881369,0.371404,1
2.599106,-0.673181,-0.388018,-0.189948,-1.461213,-1
3.019082,-0.696678,1.076133,0.601565,0.410288,1
1.601802,-0.784534,-0.141784,0.190136,-0.097844,-1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
2.874808,0.41692,1.003299,0.701983,-0.104881,-1
2.435403,2.74902,-2.082882,-1.349861,0.317014,-1
-1.512719,0.055478,-0.438586,-0.337628,-0.049272,1
0.88888,0.409297,-2.128096,-0.107113,-0.114194,-1
-1.67689,-0.000788,0.036784,0.051838,0.101898,1
-1.818828,0.09331,-0.043343,0.056341,-0.001041,1
-1.67689,-0.000788,0.036784,0.051838,0.101898,1
-1.620212,0.106067,-0.132145,-0.301274,-0.071783,1
3.943891,-1.142305,1.057018,0.436326,0.444086,-1
-1.4938,0.000266,-0.615135,0.130194,0.256677,1
0.641609,-0.699452,-0.221865,-0.474677,-1.281323,-1
6.024727,2.995794,-0.127574,0.858796,-0.316206,-1
-1.21694,0.101085,-0.691159,0.356647,-0.486734,1
-1.569398,-0.051377,-0.269657,0.015484,0.124409,1
-1.684954,0.62215,-0.094954,-0.088648,0.073303,1
-0.813592,-0.619669,-0.604943,-0.185764,0.839238,1
-2.185679,0.119549,0.521625,-0.048193,0.256862,1
4.357126,-0.966948,-0.214626,1.637076,0.578102,-1
-1.459355,-0.043244,-0.228567,0.162044,0.337104,1
2.263589,-1.105746,0.970218,0.71616,1.027963,-1
-1.853274,0.136821,-0.42991,0.024491,-0.081467,1
-2.033813,0.194487,0.569538,0.129049,-0.046064,1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
-1.459297,-0.001581,-0.357506,0.144538,-0.058508,1
1.443836,-0.679045,-1.708356,-1.06949,0.15484,-1
6.777842,3.809915,-0.446355,-0.456199,-0.461214,-1
-1.921546,0.231545,0.463963,0.249221,-0.219214,1
4.28011,0.080025,-1.483634,0.831356,-2.406279,-1
-1.960766,0.187409,-0.12347,0.060845,-0.103979,1
5.944814,0.129768,-0.040047,-0.131503,0.310317,-1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
-1.784382,0.0498,0.343225,0.088192,0.079386,1
-1.960766,0.187409,-0.12347,0.060845,-0.103979,1
-1.92632,0.143899,0.263098,0.092695,-0.023552,1
-1.603844,-0.007867,-0.656224,-0.016367,0.043982,1
2.185184,-1.070379,-0.226689,0.131615,1.058877,-1
-1.058843,-0.53583,0.672437,-1.211607,-0.250456,1
1.581574,0.252928,-0.827425,-0.339847,-0.484635,-1
2.231269,-0.307312,-0.757924,2.005934,0.345328,-1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
-1.028694,-0.168318,-0.984065,-0.357006,0.063584,1
1.313437,-0.78379,-0.129289,-0.201358,-0.855936,-1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
4.329835,-1.460419,0.032427,-0.286574,-0.548883,-1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
-1.38714,-0.142484,-0.562978,-0.23194,0.271771,1
3.955143,4.198847,-1.120714,-1.276989,-0.869621,-1
-2.033813,0.194487,0.569538,0.129049,-0.046064,1
-1.569398,-0.051377,-0.269657,0.015484,0.124409,1
6.351535,4.063793,1.546369,0.886241,0.317042,-1
-1.921546,0.231545,0.463963,0.249221,-0.219214,1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
-1.853274,0.136821,-0.42991,0.024491,-0.081467,1
-1.707708,0.250183,0.833267,0.021065,0.028504,1
1.530634,-1.415462,-1.575021,-0.574903,1.267414,-1
-1.006671,-0.217227,0.331887,-0.446299,-0.036693,1
-1.435423,-0.031947,0.190668,-0.044328,0.061867,1
-0.526993,-0.069215,-0.50844,0.64055,-0.653996,1
-1.667851,0.034423,0.492107,-0.074691,0.084228,1
3.743478,0.484648,0.991576,0.275908,-0.316136,-1
-1.544077,-0.042438,0.550528,-0.133065,-0.20317,1
1.936355,-0.899347,0.370615,-1.241185,-0.39169,-1
1.082484,-0.217302,-0.436988,0.904681,-0.787056,-1
-1.569398,-0.051377,-0.269657,0.015484,0.124409,1
2.163498,-0.155483,1.103714,1.4424,-0.013201,1
4.789352,0.071167,-0.030418,1.488391,0.947753,-1
-1.100209,-0.209595,-0.907987,0.058444,0.09922,1
3.093122,-1.205083,-0.336595,0.659691,0.842391,-1
-2.220124,0.163059,0.135057,-0.080043,0.176436,1
-1.960766,0.187409,-0.12347,0.060845,-0.103979,1
-1.67689,-0.000788,0.036784,0.051838,0.101898,1
-2.078187,0.068961,0.215184,-0.084547,0.279374,1
2.367947,-0.646973,1.283728,0.979285,1.693755,-1
-1.676447,0.112335,0.273101,0.226129,-0.113299,1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
3.870093,-1.37561,0.183283,-0.088216,0.441781,-1
-0.407283,-0.120109,0.108098,1.170338,1.626462,1
2.583021,-0.749211,-1.263111,-1.400908,-0.932088,-1
0.600047,-0.544578,-0.998644,0.446484,-0.768876,-1
5.601026,2.560317,-0.224143,-0.6443,-1.849497,-1
-1.112312,-0.148096,-0.12945,-0.509518,0.161447,1
-1.569398,-0.051377,-0.269657,0.015484,0.124409,1
-1.259148,-0.03718,-1.063239,0.134168,-0.15153,1
-0.96082,0.888092,0.872721,1.551489,-2.572409,1
4.075469,0.316517,0.768249,-1.088406,1.00073,-1
3.297519,-1.165625,0.435891,0.446899,0.954399,-1
0.848027,-0.457483,-0.271981,1.129121,1.476903,-1
5.012549,1.286517,-0.931922,0.511093,0.750397,-1
-2.033813,0.194487,0.569538,0.129049,-0.046064,1
-0.845233,-0.123716,-0.202924,0.557707,0.38984,1
3.572903,-1.496772,-0.31942,-0.872039,0.290637,-1
3.414311,-1.527063,-0.870046,0.090882,1.186939,-1
3.43307,-0.28444,-0.028878,0.800842,0.877627,-1
-2.17575,0.288586,0.489412,0.133553,-0.149002,1
-1.960766,0.187409,-0.12347,0.060845,-0.103979,1
-1.099766,-0.096472,-0.67167,0.232735,-0.115976,1
-1.970694,0.018372,-0.091256,-0.120901,0.301885,1
1.865778,-0.24434,-1.556683,0.810031,1.651058,-1
4.174209,0.855985,2.115004,-0.17387,-0.256665,-1
3.728226,-1.36937,-0.340911,0.514594,0.318526,-1
6.317112,-1.463644,0.805349,0.858034,-0.535189,-1
1.044995,-0.345698,1.539803,-0.587018,0.082654,-1
-1.891875,0.100389,0.649665,0.124546,0.056875,1
-1.745781,0.086232,-0.736351,-0.011863,-0.058956,1
0.052966,-0.549962,-0.309394,-0.118618,-0.009101,1
-1.853274,0.136821,-0.42991,0.024491,-0.081467,1
5.048891,-1.537416,0.466889,0.253248,-0.399628,-1
-1.349639,-0.064908,-0.681673,0.099302,-0.02623,1
-0.519211,-0.275873,-0.578052,0.21479,0.177645,1
-1.717132,0.143512,0.012689,-0.044203,-0.134243,1
-1.921546,0.231545,0.463963,0.249221,-0.219214,1
