-0.348f32-0.348f34-0.32f40-0.317f36-0.312f31...,0.273f21+0.252f56+0.248f23+0.236f53+0.235f09...,-0.445f56-0.372f57-0.292f50-0.285f55+0.248f19...,0.403f43+0.395f37+0.304f39-0.295f22+0.245f41...,'0.535f42+0.332f12+0.31 f29+0.27 f05-0.256f22...',class
0.302769,-1.01371,-1.358392,-0.523603,-0.075788,0
0.682049,-1.56687,-5.190355,-6.799534,-6.563226,0
0.272618,-0.564636,-1.331094,-0.408617,0.0757,0
0.124458,0.153599,-1.186029,-0.142229,-0.020559,0
1.935429,3.838303,2.634946,0.885046,-2.148791,1
-5.352491,-0.846917,0.567214,-1.42834,1.863333,0
0.97481,0.572085,0.435771,0.237095,-1.359607,0
0.915696,0.714502,0.626456,-0.246472,0.114072,0
0.654721,-0.805545,0.412044,0.344228,-0.655345,0
-1.254715,0.124754,-0.585736,-0.080081,0.254286,0
0.731503,-0.304841,0.806562,-0.0429,-0.295842,1
0.476905,-1.483739,0.653118,0.208881,-0.748501,0
-2.910194,0.065428,0.504119,-0.10278,0.074031,0
-2.742251,-1.622704,-0.432386,-0.067065,0.131563,0
0.491653,-1.29787,0.26157,0.348553,-1.176186,0
0.771569,-0.59727,1.373307,0.027709,-0.91782,0
-34.305058,6.900623,2.425175,-1.77982,-1.925018,0
1.757883,4.890094,-2.762123,-0.268256,0.121122,1
-0.327737,-0.171558,0.228705,-0.410446,0.340533,0
0.293548,-0.239754,-2.106338,0.427439,-0.075507,0
-0.098245,-1.104716,0.153732,0.281413,0.893289,0
0.432102,-0.700149,-0.018098,-0.255592,-0.242906,0
0.235692,-1.76771,-0.465856,2.438243,0.41285,0
0.999243,0.915775,1.108242,0.185064,0.247489,1
0.502157,-1.18048,0.552407,-0.405459,-0.560518,0
0.904666,0.283066,1.280556,-0.346042,0.33257,1
0.505414,-0.325359,0.331889,0.189192,-0.431539,0
0.075875,-1.78973,-0.299178,-0.663364,-0.150435,0
1.157387,1.663368,0.167781,-0.491599,0.589718,1
0.561386,-0.242403,0.133808,0.163832,-0.085967,0
0.838991,1.105405,0.271709,0.64709,-0.052683,1
0.114685,-2.222814,0.205282,-1.405001,-0.949422,0
0.136301,-2.028471,-1.467292,1.540976,0.946926,0
-0.135697,-0.49856,1.255651,-0.740306,2.508126,0
0.3651,-0.260766,0.091704,-0.520833,-0.20355,1
0.87138,0.137667,0.759267,0.238208,-1.194314,0
0.755849,2.13455,0.727014,0.574853,-0.057764,1
-7.344122,-0.710031,-1.371927,2.637759,0.926574,0
0.623596,-0.719514,0.637686,-0.41527,0.137695,0
0.032035,-0.603305,0.36222,0.01347,0.370129,0
0.344661,-1.923721,1.091846,-1.043696,1.78338,0
0.344502,-1.530835,0.101421,-0.647422,-0.359653,0
0.153077,-2.107191,0.187835,-1.278514,-0.850921,0
0.353006,-1.516631,-0.178239,-0.529251,-0.391261,0
1.44401,2.726325,2.588893,0.040037,2.090813,1
0.468823,-1.706915,0.188249,-1.169388,-1.101842,0
0.704574,-0.994309,1.17482,0.686758,0.316842,0
0.76233,0.695392,-3.620882,-1.680251,-0.049391,0
-1.010867,-0.896353,0.26514,-0.546911,0.04793,0
0.083326,-0.855952,-1.439957,-0.461088,0.060734,0
0.563382,-1.005254,0.585853,-0.412305,-0.671879,1
0.516978,-0.740855,-0.084667,-0.445474,-0.408305,1
1.105791,1.866485,0.057857,-0.431792,0.280211,1
0.356851,-0.482899,-0.03724,-0.431841,-0.047706,0
0.045784,0.436376,-0.477015,0.058552,0.425094,1
0.08963,-1.338939,-0.490698,-0.31428,-0.339012,0
1.216752,1.866117,1.114885,0.496477,-0.654105,1
1.715552,3.580426,2.356994,1.192728,-0.832209,1
-12.958934,1.872377,0.692143,0.593416,-1.761087,0
-0.297139,-1.216173,0.474957,-0.977485,2.130495,0
0.379155,-1.544394,0.403465,-0.277671,0.276704,0
1.289338,1.887051,2.011222,0.08117,0.437126,1
0.958503,3.596762,-0.818233,1.259562,-0.180525,1
0.124865,-0.783453,-0.70876,-0.681373,-0.498342,1
1.722896,3.937928,-1.10347,1.131099,-2.18224,1
0.593481,-0.011859,0.10846,-0.092178,-0.141706,1
0.345321,-1.523981,0.087882,-0.653865,-0.354607,0
0.547977,-0.847366,0.802183,-0.454737,2.061872,0
0.330761,-1.355977,-0.599553,2.554705,0.008602,0
0.61408,-0.532855,0.302649,-0.015914,-0.183177,0
1.038446,0.885445,1.60455,-0.281411,0.397884,1
-0.06252,-0.582069,0.031835,-0.349168,1.429192,0
-1.223683,-1.214126,-0.036756,0.001353,-0.107719,0
-0.851638,-1.343438,0.20671,-1.022989,1.090659,0
0.701458,-0.944687,1.300196,0.429955,-0.999685,0
0.238572,-0.061619,0.388338,0.14274,-0.635462,1
0.34443,-1.531206,0.102034,-0.647249,-0.359707,0
0.366368,-1.55021,1.308222,-2.405668,5.063139,0
0.598544,-1.534198,0.689762,0.94646,-1.378704,0
0.648373,-0.973677,0.419087,0.455491,-1.080269,0
0.520348,-0.317895,0.221801,-0.259036,-0.222854,0
0.922493,0.466472,1.06289,0.174318,-0.427433,0
-3.970125,-0.594167,-0.782053,1.488416,0.051721,0
-1.134835,-0.554382,-0.156812,-0.090419,0.386295,0
0.034279,-3.054619,0.130068,-1.757805,1.225422,0
0.504522,0.658184,-4.135027,-0.961635,-0.178774,0
0.09583,-1.511071,-1.060135,-0.090001,0.001814,1
1.153396,1.721334,-0.449567,-0.276144,-0.735175,1
0.431391,-0.893774,-0.016939,0.737945,0.346903,0
0.114685,-2.222814,0.205282,-1.405001,-0.949422,0
1.014359,1.077973,1.073685,0.295585,-0.533781,1
0.524582,-1.034998,0.648986,-0.410214,-0.532027,0
0.719439,1.096777,1.517991,0.741645,0.365061,1
0.218479,-1.087563,0.356916,0.283869,-0.630905,0
-0.921131,-1.856003,-0.34812,-0.324707,-0.031764,0
0.796746,0.459834,1.113022,-0.262761,-0.198822,1
-3.929764,1.17142,-0.399503,2.309215,-0.086693,0
0.292715,-1.506082,-0.144248,2.814087,0.513976,0
-1.470007,-1.360572,-3.780482,4.842838,1.659758,0
0.344646,-1.530091,0.100194,-0.647766,-0.359546,0
1.442391,3.252047,0.372007,-1.549867,0.812399,1
0.795453,0.708168,1.102612,0.154719,-0.403187,1
0.742853,1.034019,1.149242,-0.011464,-0.344755,1
1.016167,0.623912,1.356181,0.058439,-0.42001,1
0.133768,-1.567797,-1.083776,2.990277,0.216423,0
0.895779,0.127056,1.260592,0.078464,-0.751167,1
1.031593,0.900038,0.964199,-0.138402,-0.128839,1
0.311042,-1.888748,0.163925,0.070269,-0.56865,0
0.890661,0.585184,0.397463,-0.121362,0.016461,1
0.468823,-1.706915,0.188249,-1.169388,-1.101842,0
0.811651,-0.376428,1.286445,-1.069955,-1.080414,1
1.224109,1.089165,0.970666,-0.904152,-0.445516,1
-0.265035,1.622811,2.004797,0.071954,1.470691,0
0.710088,0.350992,-0.878323,-0.681393,0.18258,1
0.170596,-2.937593,-3.318292,3.59345,-3.840038,0
-0.332194,-1.093907,-1.583654,-0.788474,-0.057988,0
0.557477,-0.899881,0.281079,-0.355637,-0.155193,0
-0.96715,-1.069659,-2.600993,2.007373,0.648955,0
1.438837,3.201537,-0.27931,1.090153,-0.028543,1
1.210789,1.705672,1.629383,-0.408573,1.292224,1
0.449327,-0.494689,-0.868341,-0.788115,-0.032986,1
0.750478,-0.983999,1.544507,0.896786,-1.194524,0
-0.289296,-1.16152,-0.687921,-0.853658,0.119908,0
1.160858,1.703893,0.710505,0.134322,-0.479387,1
1.420871,2.940722,1.897999,-0.162572,0.867539,1
-0.635723,-1.441173,0.676976,-1.254509,2.042309,0
0.872213,3.172946,0.221769,1.298901,-0.719775,1
-0.764225,-1.343067,-1.154194,-0.276521,-0.773232,1
0.56179,-0.37329,0.242938,-0.366854,0.558604,0
0.217564,-1.635758,-0.308593,-0.329312,-0.562409,0
0.330953,-0.561427,-0.979581,-0.90854,-0.831038,1
-0.162408,-1.527976,-0.621087,0.069155,1.984509,0
-0.629233,-2.067299,-0.158985,0.042634,-0.176907,0
0.998169,0.693695,1.757685,-0.176533,0.697314,1
-0.05183,-1.426633,-0.456904,0.504803,0.122581,0
0.809532,-0.096237,1.031926,-0.389155,-0.73584,1
1.002687,0.905733,1.201519,0.192605,-0.36434,1
0.114685,-2.222814,0.205282,-1.405001,-0.949422,0
2.401929,9.427586,-4.036822,4.788872,-0.987018,1
1.125543,2.263843,1.180805,0.482736,-0.497101,1
1.201098,1.66693,1.789518,0.122708,0.237769,1
-0.118464,-1.8653,-0.788728,-0.445315,0.386311,0
0.473748,-1.241851,1.074397,-1.066644,4.472506,0
0.224187,-1.557942,-0.279141,-0.646344,0.225397,0
0.896754,0.783253,0.316858,0.077718,0.14821,1
1.06633,0.462415,1.58886,0.658661,-0.813467,0
0.146635,-0.58151,-1.352437,-0.095176,0.200061,0
0.967437,0.530314,1.417887,0.091172,-0.509218,1
-0.483871,-1.653633,-1.442101,0.588434,0.395791,0
-3.32237,-0.046117,0.458229,0.107705,0.721791,0
-0.456085,-3.451284,-2.719099,3.996717,1.859696,0
1.362763,2.060174,2.379787,0.515104,0.629565,1
1.017337,1.383138,1.05907,0.483918,0.983201,0
-0.861713,-1.063766,0.055814,-0.676516,0.305433,0
0.352349,-0.56334,-0.151305,0.871134,-0.132923,0
0.971329,0.658924,1.194068,-0.149751,0.405922,1
0.902169,0.16193,1.513011,-0.154566,-0.20481,1
0.440203,-1.3825,0.1925,-0.803995,0.999125,0
-0.714238,-1.531321,-0.443724,-0.576238,0.797175,0
-1.751532,-0.983805,-1.127107,0.661697,1.148325,0
-1.906989,-0.800073,0.615772,-0.526538,-0.058971,0
0.72346,-0.59712,-1.477823,-3.69615,-2.702906,1
0.958919,0.727533,0.243916,0.007005,-0.100331,1
0.194994,0.072263,0.782821,-0.557128,1.554167,0
0.342368,-1.207025,0.157493,-1.003808,0.463188,0
0.701427,-0.588296,1.209687,-0.628087,0.313176,1
0.960562,0.913635,1.585196,0.291338,-0.958886,0
0.852681,0.3664,0.727288,0.116533,-0.516756,0
0.824553,-0.183843,1.413117,-0.393664,-0.298186,1
0.77601,-0.051445,1.326052,-0.107345,0.110998,0
1.043511,1.326384,0.638735,-1.430826,-1.327104,1
1.285137,2.794157,-0.575906,0.649277,0.292162,1
-0.200401,-0.987526,-0.057241,-0.499094,-0.307164,0
1.107883,1.820829,0.879266,-0.031888,0.286822,1
0.706821,-0.011993,0.488598,-0.279984,-0.17382,1
-0.187326,-1.291939,-0.382189,-0.369158,0.073726,1
0.832255,1.217912,1.624177,0.258451,0.637517,1
1.461118,2.314457,1.779162,-0.066817,0.339244,1
1.459831,3.302924,-1.314645,-0.031906,-0.014833,1
1.778396,5.592483,-0.473354,2.11673,1.568718,1
1.206869,2.188933,1.351739,0.461517,0.243127,1
0.905531,1.584513,1.785225,0.039349,0.05821,1
0.578765,-0.615247,0.083634,-0.447054,-0.113469,0
0.218095,-1.367427,-0.728286,-0.32952,-0.135532,0
0.893593,0.596796,0.398482,-0.118946,0.017091,1
0.298632,-1.290843,-0.247036,-0.438053,-0.453528,1
0.337256,-1.885019,-0.423756,0.918312,-0.656627,0
0.702588,-0.270372,0.738708,-0.127816,0.339084,0
0.489027,-0.509896,-0.638056,-0.264548,-0.536606,1
-0.139043,-0.328773,-0.527672,-0.229528,0.051794,0
-0.906002,-0.465811,0.276845,-0.757628,0.380827,0
1.267756,1.859037,1.811213,0.47694,0.706009,1
0.663362,0.12664,0.347993,0.036347,-0.452504,1
0.346173,-1.519796,0.081712,-0.654543,-0.355098,0
-0.416202,-0.472725,-0.327342,-0.236417,-0.102538,0
-0.178748,-1.282645,-0.62223,-0.340663,0.502895,0
-4.949717,-0.107331,0.034348,-0.515668,0.001598,0
0.360674,-0.911212,0.466525,0.007521,-0.163656,0
0.870404,0.978885,0.681173,-0.409357,0.521899,1
1.072643,1.67801,0.123714,0.047304,0.366505,1
1.016281,1.084192,-0.049545,-0.51408,0.73465,1
0.655932,-0.166365,0.254035,-0.283106,0.106803,1
0.487057,-1.119457,0.833749,-1.353162,1.53783,0
1.530476,3.616152,-1.436368,-0.042771,0.055038,1
1.268646,3.243177,1.386177,0.445944,0.671024,1
0.143186,-1.214581,-0.038655,-0.140579,1.393836,0
1.213018,1.191023,2.36901,0.257283,-0.993264,0
-25.647845,4.8073,1.808932,-1.505472,-1.525524,0
1.214168,2.370358,0.379688,0.253891,0.086841,1
1.435659,2.364063,1.174218,0.423954,-0.417355,1
0.597284,-0.645041,0.506756,-0.168334,-0.256013,0
0.716701,1.325251,1.016813,-0.091457,0.69146,1
0.564721,-0.607806,0.098699,-0.173724,-0.145682,0
1.027713,0.988083,0.8488,0.004059,0.41456,1
0.25928,-0.561764,-2.17588,-0.624042,0.180549,0
-2.226953,-3.121425,-3.669924,2.870036,1.169374,0
-1.828354,-1.092066,-0.180127,-0.580876,-0.168575,0
1.127362,1.558178,1.962772,0.706694,-0.474964,1
0.259591,-1.477239,-0.490163,0.736961,-0.195194,0
0.48998,-0.887363,0.334352,-0.226706,-0.26377,0
1.417311,2.394446,1.72906,0.408587,-0.199499,1
0.219072,-1.263363,-0.457258,0.84752,-0.238874,0
0.236735,-0.765025,0.17343,-0.317871,0.268781,0
1.630793,3.150233,0.726845,0.872928,-1.293853,1
1.146119,1.52459,0.891057,0.198374,0.124144,1
0.306802,-1.415166,-0.167185,-0.702851,-0.308182,1
-7.099361,1.089245,0.434593,0.184365,-0.772044,0
0.276601,-1.317734,-0.319707,-0.805021,-0.262033,1
-31.230397,6.150563,2.253771,-1.679199,-1.793212,0
1.00507,0.942516,1.177709,0.114768,-0.362269,1
0.345941,-1.521317,0.084133,-0.654087,-0.355315,0
0.473063,-1.483416,0.632261,0.180243,-0.735605,0
-0.510958,-2.071493,-2.16163,1.664842,-0.633325,0
1.089175,3.18907,1.010717,0.595571,0.131798,1
-0.403108,0.212981,0.621904,-0.169969,-0.16604,1
0.396674,-0.716687,0.597701,-0.454584,0.184538,0
-0.016294,-1.227957,-0.732409,-0.621304,-0.362239,0
1.133325,2.620042,2.831002,0.739486,0.669215,1
-2.541617,-0.611135,-0.567975,1.134868,-0.04776,0
-1.156027,-1.808665,-1.520543,1.722689,0.508695,0
0.347341,-1.51136,0.066297,-0.660458,-0.350918,0
1.118267,1.367928,0.897299,0.046203,0.048714,1
-0.207506,-1.107438,-0.170204,-0.381586,-0.232305,0
1.761314,4.566023,-2.054196,0.199411,-0.147798,1
0.30325,-1.960427,0.209472,0.187914,-0.608201,0
0.492502,-1.459086,0.238475,0.026566,-0.965816,0
-0.815334,-0.499141,0.007214,-0.006092,-0.110863,0
0.294291,-1.674372,0.100866,-0.827908,-0.487827,0
1.31771,2.305879,1.41069,-0.000692,0.207916,1
0.649756,0.219359,-0.610748,0.004881,-0.544466,1
1.102783,1.926265,-0.623012,0.006475,-0.229652,1
0.513241,-0.612776,-0.035673,0.478988,-0.603733,0
0.620076,-0.465135,-0.233816,-0.90627,-0.768566,1
0.945356,1.157161,1.455902,0.178515,0.148099,1
0.703153,-0.211519,0.667976,0.263675,-0.941433,0
0.664379,-0.137754,0.672261,-0.423987,-0.384269,1
0.015029,-2.167981,-1.24716,0.895223,-1.436307,0
-0.137331,-1.38993,-0.255036,0.010941,0.288881,0
1.003681,1.061341,0.605303,-0.381354,-0.181185,1
-7.270479,-1.193212,-2.57162,5.834145,1.043119,0
0.647717,0.481913,-0.455794,-0.453744,-0.145014,1
0.859248,0.346628,1.149785,0.285384,-0.878088,1
0.605196,-0.961126,0.878463,-0.235079,-0.70049,0
-0.22877,-0.472908,0.794415,-1.044013,0.356536,1
0.925744,1.114123,-0.013051,-0.105232,-0.013661,1
-2.446796,-0.808151,-0.267136,-0.4339,-0.139311,0
0.73166,0.202925,0.033351,0.063149,-0.957447,1
0.70552,0.341404,-0.893466,-0.689539,0.188166,1
0.114685,-2.222814,0.205282,-1.405001,-0.949422,0
0.36173,-0.985246,0.100425,-0.542772,-0.357726,0
0.03774,-0.820614,1.086211,-0.574232,0.755206,0
1.258219,2.515263,-1.075713,-0.898525,1.500946,1
-9.99344,1.126893,0.516855,0.311336,-1.441532,0
-1.48291,-1.941041,-0.570597,0.088989,0.531825,0
0.058255,-2.387382,0.214968,-1.601685,-1.091197,0
1.44432,3.531526,1.346051,0.537783,0.526947,1
-0.006138,-0.737687,-0.601758,-0.147247,-0.194955,0
0.519802,-0.203706,0.097524,-0.319566,0.174629,1
0.051177,-0.423653,-0.098709,-0.785701,0.101202,1
-3.890882,-0.11488,-1.130805,1.442734,0.262136,0
0.492683,-0.490773,0.373817,-0.440496,0.40474,1
-4.802262,-0.764682,-1.513788,3.626649,1.308,0
0.687682,-0.388315,1.349629,-1.494975,2.154055,0
1.394843,2.18601,1.223759,0.291553,-0.239938,1
0.354436,-1.532663,-0.068881,-0.758996,0.363052,0
0.790828,1.591171,1.945851,0.197663,0.32522,1
1.1494,1.42473,1.300975,-0.097842,0.303069,1
1.05709,1.073496,1.423838,0.599847,-0.400691,1
0.457996,-1.208705,0.434235,-0.69125,0.083292,1
0.734992,-0.441031,1.418042,-0.877702,0.944814,0
0.913716,0.655747,0.661378,-0.08494,0.046066,1
0.266622,-0.786258,-2.38495,-0.118943,0.485307,0
0.384675,-0.942923,0.144866,1.243443,0.296594,0
0.718696,0.708782,-0.838481,0.299915,-0.91909,1
0.379243,-2.761035,-1.63066,3.42438,-3.205839,0
-0.032889,-0.504005,-0.30969,-0.023223,0.302499,0
1.08324,1.399901,0.9069,-0.346627,-0.037865,1
0.675756,-0.16988,-0.028308,-0.623215,-0.195536,1
1.046152,0.647616,1.371588,0.304545,-0.14247,0
0.771137,-0.358918,1.010551,0.482998,-0.117357,0
-0.323425,-0.313518,-0.280761,-0.266444,1.091276,0
0.888963,0.65026,0.378808,0.197195,-0.418977,1
-3.737891,-0.200125,0.181575,0.368404,-0.566235,0
0.606888,0.756982,0.953503,0.338482,0.209578,0
-3.399599,-0.302366,0.303637,-0.614591,-0.413021,0
-0.167902,-1.229329,0.346233,-0.616984,1.236025,0
0.727164,1.019333,-0.519789,0.653791,-0.215542,0
1.413009,2.813762,1.914869,-0.240029,0.771641,1
0.70478,0.338989,-0.892572,-0.68927,0.189269,1
1.088384,1.518541,-0.564096,-0.21553,-0.286041,1
1.481129,3.583934,1.952645,1.612338,-1.169118,1
1.116487,1.019136,-2.364229,-4.611319,-2.936151,1
-2.591031,-0.892256,-0.717651,2.512693,-0.091315,0
0.671618,-0.114103,0.516505,-0.268306,-0.182852,1
1.746022,4.256206,-1.367919,0.003092,0.194955,1
0.494304,-1.232844,0.678012,-0.506975,-0.730382,0
0.321914,-2.335799,-0.806387,-0.430382,1.217402,0
1.011009,0.521253,1.210707,0.127586,0.01325,0
0.425077,-1.058055,0.10338,-0.269391,-0.067623,0
0.428823,-0.011398,1.171126,-0.1056,1.38554,0
0.565672,-0.342027,0.134382,-0.693028,-0.097629,1
0.066663,-2.468402,-0.879251,2.95291,0.122134,0
0.429322,0.94337,-0.232221,-0.575362,1.885113,0
0.419004,-0.723864,-0.064917,-0.35592,-0.314885,0
-0.866212,0.147427,0.130498,-0.222518,0.851778,0
0.835015,-0.207306,1.539802,0.448196,-0.740567,0
0.262482,-1.411992,-0.342662,-0.772024,-0.502913,0
-0.739208,-1.815654,-1.645115,0.748953,1.248534,0
1.354823,2.675339,0.272323,0.32168,0.212098,1
1.05286,1.03263,1.490473,0.273021,-0.090133,1
0.907946,0.66684,0.20035,0.014253,-0.269661,1
0.502832,-0.638541,0.295418,-0.38342,-0.238723,0
0.961446,0.927375,0.379307,0.099525,0.159838,1
0.834933,1.184372,-0.800723,-0.326958,-0.395858,1
-0.628496,-1.043037,-0.18053,-0.426639,-0.44159,0
-0.168876,-1.014556,-1.054418,-0.823665,-0.229173,0
0.303482,-2.083778,-0.231404,-0.174241,-0.069463,0
0.30319,-2.05513,-0.499103,-0.612915,0.206131,0
-0.448169,-0.773058,0.36554,-0.666706,-0.334213,1
0.728535,0.393031,-0.12469,-0.183655,0.080054,1
0.463536,-1.322004,0.215612,-0.255534,-0.51609,0
0.977211,1.362355,-2.487078,-1.252017,-0.564823,1
1.271127,2.311452,0.240023,0.672134,-0.644474,1
-1.358397,-0.796954,0.064616,0.044729,-0.870743,0
0.168461,-1.145236,0.200689,-0.249418,-0.548711,0
0.221355,-1.640049,-0.325567,-0.429836,0.072575,0
0.24613,-1.205214,0.08143,-1.670415,2.452041,0
0.773297,-0.317104,-2.32977,-4.023854,-3.008974,1
-28.803623,5.573518,1.979108,-1.605244,-1.659991,0
0.614491,-0.66824,0.735587,-0.464012,0.478464,0
0.09998,0.045197,-0.228986,0.204886,-0.65122,0
0.605807,-0.501634,0.642464,-0.253753,-0.339917,1
1.591453,3.315921,1.525795,0.903123,0.916281,1
0.677182,0.145328,0.012281,-0.207242,-0.212413,1
-2.381433,-0.954669,-0.209161,0.890755,0.233772,0
0.785749,0.231083,0.946393,0.111445,-0.224294,0
-1.854242,-0.635114,0.279561,-0.173397,-0.249832,0
1.24135,2.471593,0.352723,0.725614,-1.230127,1
0.98956,2.490365,-6.005374,-2.27157,0.365799,1
0.961701,3.876925,0.73418,0.39097,-0.339652,1
1.163771,0.982685,2.058584,-0.500902,0.763849,1
1.351086,2.969864,-0.925243,-0.139994,-0.467542,1
-0.243955,-1.14255,0.003731,-0.423996,-0.446334,0
1.394425,2.773912,2.088748,0.585628,1.263375,1
-1.646958,-2.583016,-1.630558,2.033395,0.974466,0
0.94633,0.505441,1.533885,-0.39038,0.991599,1
-3.453178,0.218394,0.546765,-0.993184,-1.236555,0
-4.573253,0.250607,0.035234,0.053959,-0.391629,0
0.239483,-0.617644,-0.006684,1.406444,0.189726,0
0.701458,-0.944687,1.300196,0.429955,-0.999685,0
0.425859,0.980299,0.2643,1.065888,0.491677,1
-0.134336,-1.012958,0.533449,-0.924191,0.572553,0
0.515726,-1.011072,0.874482,-0.943657,2.13853,0
1.476926,2.379755,-0.437753,-0.704718,-1.28584,1
0.552911,-0.394162,-0.334916,-0.626669,-0.600945,1
0.114685,-2.222814,0.205282,-1.405001,-0.949422,0
0.386891,-1.076541,-1.156013,-0.112533,-0.375136,1
0.356175,-0.483511,-0.036886,-0.431423,-0.047697,0
0.624141,-0.636848,0.319893,-0.317954,-0.626018,0
0.740186,-0.44845,-1.686376,-3.704282,-2.694107,1
0.600323,-1.735169,-5.353914,-6.071935,-6.166019,0
0.453215,-0.953599,-0.032658,-0.252079,-0.290544,0
-6.679921,-0.350211,0.406323,-0.579744,-0.935476,0
1.025727,1.019621,1.737929,0.017707,0.867685,1
1.286299,1.922333,1.843051,0.495404,0.711489,1
-0.133447,-0.378054,0.642375,-0.223205,0.011887,1
0.241875,-0.96577,-0.071381,0.143559,0.262119,0
0.114685,-2.222814,0.205282,-1.405001,-0.949422,0
0.304443,-0.892136,-0.244018,-0.217087,0.104426,0
0.992636,0.831058,1.809606,-0.46916,0.17644,1
0.719503,-1.483145,-4.878732,-6.849374,-6.303679,0
0.114685,-2.222814,0.205282,-1.405001,-0.949422,0
-1.183899,-2.195003,-1.921196,3.230302,1.125658,0
-0.987251,-1.850144,-0.650976,0.520025,0.991333,0
-1.446242,0.877643,0.439091,0.076105,0.198934,0
1.22273,2.123163,0.217549,0.124208,-0.62117,1
1.024398,1.080239,1.644384,0.520186,-0.244143,0
0.550286,-0.624113,0.803832,0.289126,-0.71586,0
0.679719,-1.562943,-4.905767,-6.668758,-6.323418,0
0.489392,-0.96673,0.582114,-0.708891,0.199735,0
-7.211751,-1.00532,-1.16968,2.709902,0.458377,0
1.42307,2.726017,0.111451,0.661547,-1.164187,1
0.97092,0.55414,1.56515,0.104326,0.753256,1
0.697258,0.693015,0.191778,0.177344,-1.025464,1
0.836262,3.027688,0.327333,1.266356,-0.676483,1
0.062376,-1.692314,0.289515,-1.338124,2.750169,0
0.551976,-0.814044,0.48909,-0.614737,-0.046481,1
0.663338,-0.614407,0.76376,-0.755604,-0.722113,1
0.418801,-1.043199,0.07551,-0.543903,-0.569551,0
0.590675,-0.731159,-0.095332,-1.330751,-0.504031,1
1.728448,4.475581,-2.092922,0.024435,0.002294,1
1.399937,2.225199,1.284732,0.43908,-0.469679,1
-0.074914,-0.055983,-0.674049,0.127199,0.314629,0
0.690599,-0.362057,0.637769,-0.018156,-0.426823,0
0.373134,-0.86137,-0.140877,0.104627,0.069498,0
0.258703,-1.96665,0.761517,-0.702823,2.973441,0
0.57297,-0.453732,0.004176,-0.717489,1.15331,0
0.732657,-0.470359,1.076437,0.147163,0.458975,0
0.932757,2.940165,-1.880116,1.981557,-0.087444,0
0.673779,-0.803485,0.100969,0.480643,-1.173132,0
0.728221,-0.388482,1.016429,-0.14271,0.714392,0
0.378067,-0.72277,0.378709,-0.244772,-0.547056,0
0.677914,-0.398412,0.633516,-0.142392,-0.607705,0
-0.414044,-1.317466,-0.333979,-0.523615,1.264065,0
1.161433,3.158776,-0.551821,0.454292,-0.430835,1
0.861896,4.376689,-1.112737,2.098563,-0.22406,1
-0.474041,-1.916167,-0.141815,0.03253,-0.133686,0
-0.140152,-0.610552,0.719192,-0.326564,-0.22872,1
-0.902158,-0.923602,-0.736659,0.028152,0.540083,0
0.67881,0.071499,-0.023125,-0.35047,1.073629,1
-0.311463,-1.312043,0.047727,-0.571342,-0.443403,0
0.268555,-0.545449,-0.091705,-0.4447,-0.188936,0
0.871815,0.030619,1.371383,-0.174259,-0.27192,1
